volatility,predicted_vol
0.2261,0.2000
0.4208,0.4800
0.1759,0.1950
0.2976,0.3000
0.3677,0.1450
0.3998,0.1400
0.5412,0.3000
0.3540,0.3000
0.3847,0.1450
0.4994,0.3000
0.5152,0.2250
0.5071,0.1750
0.3209,0.4950
0.3122,0.4600
0.5450,0.4850
0.2165,0.1900
0.3187,0.2300
0.2115,0.1700
0.5408,0.2550
0.0800,0.1400
0.2752,0.1600
0.1066,0.1900
0.0791,0.2000
0.3039,0.1800
0.4665,0.1650
0.0557,0.2300
0.3198,0.4450
0.0598,0.2000
0.3977,0.2200
0.0756,0.1400
0.3297,0.1850
0.5382,0.4800
0.4064,0.3000
0.0663,0.2050
0.2654,0.2250
0.4724,0.4850
0.4932,0.3850
0.3172,0.3100
0.5154,0.2850
0.3807,0.2350
0.4303,0.2050
0.2493,0.2450
0.3631,0.3000
0.1207,0.2250
0.3324,0.2350
0.1086,0.1800
0.2820,0.2250
0.2916,0.2100
0.0989,0.1800
0.2680,0.1950
0.3602,0.2250
0.4397,0.3000
0.3445,0.2400
0.4227,0.1450
0.4449,0.3000
0.2221,0.4850
0.3387,0.1950
0.4750,0.4050
0.2531,0.1450
0.3192,0.2200
0.4461,0.4400
0.2949,0.2150
0.3562,0.2600
0.0557,0.2050
0.2030,0.2400
0.0816,0.1800
0.4152,0.1950
0.1011,0.1850
0.4613,0.1850
0.3814,0.1600
0.4007,0.1800
0.4855,0.1700
0.4458,0.4350
0.0591,0.2500
0.5338,0.2150
0.0600,0.2300
0.2775,0.2200
0.2449,0.2400
0.3491,0.4650
0.2511,0.1550
0.1635,0.1950
0.1673,0.2200
0.3208,0.1950
0.2035,0.1850
0.3660,0.4650
0.3517,0.1650
0.1946,0.2300
0.5308,0.2350
0.1903,0.1950
0.4777,0.2350
0.5146,0.4000
0.4657,0.3000
0.4220,0.2250
0.4275,0.3000
0.5470,0.3000
0.1838,0.2200
0.4601,0.2150
0.2661,0.1800
0.5459,0.3000
0.2863,0.1950
0.1637,0.1550
0.0979,0.2150
0.3849,0.4800
0.3120,0.3000
0.5270,0.3000
0.3216,0.2400
0.4071,0.5200
0.0678,0.1750
0.4734,0.3000
0.3795,0.1750
0.1475,0.1500
0.3398,0.2550
0.2294,0.1950
0.2743,0.2000
0.2615,0.3650
0.5169,0.1650
0.5393,0.4650
0.3991,0.1750
0.1828,0.2300
0.1626,0.1400
0.2974,0.1900
0.5196,0.1900
0.4756,0.1800
0.5192,0.1950
0.5303,0.1800
0.1097,0.1900
0.5075,0.3550
0.0601,0.2350
0.0968,0.2100
0.2480,0.1800
0.4312,0.3000
0.4667,0.3000
0.3028,0.2150
0.3601,0.1750
0.1045,0.1500
0.2481,0.1700
0.4268,0.3000
0.1396,0.1800
0.2028,0.2300
0.1795,0.1700
0.1046,0.1900
0.1831,0.1450
0.3289,0.3000
0.0826,0.2300
0.2642,0.2150
0.3521,0.1700
0.2630,0.5100
0.5455,0.3000
0.4662,0.4750
0.3047,0.1900
0.4991,0.3000
0.1022,0.2250
0.3865,0.2200
0.1853,0.1450
0.0570,0.1800
0.2921,0.1500
0.1307,0.2100
0.3967,0.4200
0.4573,0.2200
0.4959,0.3000
0.1725,0.1750
0.4228,0.4900
0.4997,0.3000
0.5006,0.2100
0.4623,0.2700
0.1438,0.2050
0.2443,0.1800
0.4582,0.3000
0.1866,0.2300
0.3124,0.2400
0.2101,0.1650
0.2194,0.2100
0.2850,0.5400
0.2288,0.2350
0.4473,0.4450
0.4048,0.2750
0.2948,0.1550
0.3255,0.2350
0.2726,0.1650
0.4218,0.2300
0.2446,0.1450
0.5201,0.2100
0.4070,0.3000
0.3303,0.5400
0.1039,0.1900
0.1266,0.1650
0.4569,0.3000
0.0548,0.2150
0.1636,0.1950
0.4362,0.3000
0.5143,0.2000
0.0861,0.2350
0.1363,0.2450
0.2662,0.5000
0.2147,0.2000
0.2637,0.4900
0.3683,0.2000
0.2953,0.3000
0.4277,0.2850
0.3125,0.1500
0.0595,0.2000
0.0615,0.1950
0.1897,0.2350
0.0804,0.2000
0.4454,0.1550
0.3330,0.3350
0.2939,0.1950
0.0814,0.2350
0.4106,0.3000
0.2785,0.4950
0.5065,0.3000
0.1930,0.2150
0.1545,0.1700
0.3296,0.1850
0.1056,0.2000
0.1740,0.1800
0.4205,0.2250
0.2531,0.1700
0.3256,0.3650
0.2270,0.1650
0.3078,0.5400
0.4318,0.3000
0.1652,0.1850
0.2101,0.2100
0.1930,0.1400
0.1536,0.2100
0.4855,0.2200
0.1660,0.1450
0.1949,0.1550
0.4925,0.1950
0.5342,0.2350
0.2325,0.2000
0.1343,0.1800
0.3271,0.5000
0.3129,0.1850
0.2999,0.1900
0.1882,0.1900
0.4885,0.3000
0.2786,0.2550
0.2921,0.2200
0.5428,0.3000
0.2409,0.2150
0.0819,0.2050
0.0559,0.2000
0.5264,0.3000
0.3555,0.3300
0.1125,0.1750
0.1104,0.1800
0.3570,0.1450
0.2334,0.1650
0.1969,0.1550
0.4678,0.1650
0.2906,0.2050
0.2926,0.5200
0.2796,0.1550
0.1083,0.1700
0.2072,0.1750
0.4528,0.2100
0.3497,0.1550
0.0803,0.1650
0.2409,0.1450
0.5374,0.5400
0.4176,0.3650
0.2640,0.2300
0.3330,0.4650
0.4273,0.3000
0.3319,0.3850
0.4505,0.2050
0.0762,0.1800
0.0943,0.2350
0.1881,0.4950
0.4540,0.3000
0.1995,0.5000
0.5386,0.2300
0.4110,0.1700
0.5446,0.3200
0.2376,0.1500
0.1197,0.1450
0.1857,0.1650
0.2173,0.2000
0.1751,0.2200
0.4255,0.1850
0.4529,0.2200
0.4258,0.2350
0.1397,0.1550
0.2162,0.4600
0.4404,0.2400
0.4669,0.2000
0.2914,0.2050
0.3953,0.1550
0.1088,0.2050
0.2641,0.4450
0.1264,0.1750
0.5214,0.2300
0.5291,0.3000
0.3021,0.2250
0.2454,0.2300
0.4299,0.2950
0.4814,0.2000
0.2219,0.1800
0.1178,0.2100
0.3899,0.2250
0.1558,0.1800
0.3890,0.2000
0.1183,0.2150
0.4697,0.4400
0.4398,0.2350
0.2756,0.1700
0.0801,0.1600
0.4018,0.3000
0.4824,0.2300
0.2535,0.2750
0.4655,0.3000
0.0513,0.1450
0.0552,0.1500
0.4476,0.3000
0.3883,0.5150
0.1142,0.2250
0.1193,0.1400
0.3960,0.4850
0.4145,0.1900
0.1022,0.2350
0.4267,0.2300
0.2889,0.1600
0.1519,0.1950
0.2528,0.2000
0.1131,0.1850
0.1951,0.2200
0.4807,0.3050
0.5270,0.4250
0.2427,0.2250
0.4932,0.3000
0.3188,0.5050
0.2286,0.5150
0.0758,0.1650
0.2935,0.4450
0.3818,0.2450
0.4989,0.5050
0.2922,0.2300
0.3319,0.2000
0.4368,0.2750
0.0755,0.1650
0.2935,0.2150
0.4702,0.2250
0.4767,0.1900
0.5074,0.3050
0.4944,0.2200
0.2992,0.2000
0.2456,0.1800
0.5325,0.3000
0.0542,0.2200
0.5440,0.3000
0.3692,0.2400
0.4829,0.2200
0.1302,0.1700
0.2579,0.1750
0.4861,0.3000
0.2887,0.2100
0.3068,0.2400
0.3935,0.2450
0.3148,0.2300
0.2844,0.4150
0.1547,0.1800
0.4614,0.3000
0.2603,0.1800
0.2257,0.4850
0.3101,0.2350
0.2618,0.1700
0.4542,0.2400
0.5484,0.3000
0.3673,0.4850
0.5258,0.2300
0.1994,0.2350
0.2256,0.4300
0.5436,0.3000
0.5084,0.2350
0.4922,0.3000
0.4761,0.2350
0.5013,0.4100
0.1904,0.1950
0.5119,0.4150
0.0915,0.2300
0.2943,0.2600
0.0733,0.1900
0.1630,0.1600
0.1473,0.1550
0.4457,0.1750
0.1256,0.1600
0.4747,0.2750
0.1994,0.3400
0.4870,0.2000
0.1057,0.2250
0.0610,0.2350
0.2833,0.2050
0.3162,0.1800
0.4822,0.1800
0.1693,0.1350
0.3089,0.2450
0.1803,0.4900
0.1477,0.1700
0.5389,0.4300
0.4206,0.3000
0.4524,0.2400
0.1900,0.1950
0.2801,0.5050
0.1099,0.1700
0.3160,0.2300
0.1901,0.1400
0.3783,0.2100
0.2109,0.1700
0.4344,0.4700
0.5075,0.3350
0.3271,0.2600
0.4923,0.2650
0.0885,0.2300
0.0747,0.1850
0.4971,0.4850
0.3087,0.2000
0.2880,0.1900
0.4393,0.2250
0.3894,0.3000
0.0606,0.2100
0.1422,0.1850
0.2250,0.2100
0.4280,0.3000
0.3415,0.2400
0.4002,0.2100
0.2761,0.4900
0.1956,0.4200
0.4048,0.2350
0.4859,0.2550
0.2972,0.4100
0.5377,0.2450
0.0930,0.2050
0.4482,0.2000
0.2812,0.1900
0.4701,0.3000
0.5465,0.1500
0.1087,0.2350
0.5437,0.5000
0.2056,0.1650
0.4775,0.3950
0.0535,0.1750
0.3450,0.1950
0.1012,0.2200
0.5474,0.1750
0.1010,0.1800
0.1935,0.1450
0.1264,0.1850
0.2905,0.1900
0.4170,0.2300
0.2787,0.2200
0.2977,0.1400
0.4699,0.2300
0.3178,0.4800
0.0997,0.1650
0.3608,0.2350
0.1730,0.1700
0.3941,0.3000
0.1446,0.2150
0.3591,0.2050
0.2199,0.1550
0.0512,0.2350
0.3480,0.2300
0.2221,0.2350
0.3024,0.2300
0.1420,0.2250
0.1445,0.2150
0.1790,0.4250
0.2428,0.1900
0.3552,0.1950
0.2890,0.2050
0.1804,0.2200
0.2957,0.1650
0.1344,0.2350
0.0553,0.2200
0.5165,0.2500
0.3233,0.2100
0.0822,0.1650
0.1533,0.4750
0.3603,0.2300
0.4561,0.2250
0.1406,0.2250
0.2728,0.2700
0.3971,0.2000
0.4924,0.5300
0.2336,0.1750
0.3021,0.2250
0.2224,0.1500
0.1024,0.3300
0.4234,0.1500
0.0939,0.1850
0.0916,0.1700
0.4057,0.2100
0.0722,0.2300
0.4422,0.2700
0.5434,0.1500
0.4983,0.4350
0.0547,0.1550
0.3262,0.1950
0.3362,0.3000
0.2889,0.1950
0.1986,0.2050
0.1645,0.1800
0.0979,0.2250
0.3369,0.2100
0.1023,0.2250
0.1353,0.2250
0.1116,0.2100
0.0940,0.1600
0.3367,0.1650
0.1627,0.1500
0.4197,0.1600
0.4524,0.1600
0.5104,0.2800
0.4766,0.3000
0.2785,0.3000
0.5108,0.3000
0.1394,0.2100
0.4111,0.5100
0.0890,0.2300
0.1153,0.1500
0.5477,0.3000
0.4966,0.3950
0.1935,0.2000
0.1815,0.2350
0.2195,0.1600
0.0956,0.4000
0.5191,0.1850
0.0800,0.2350
0.1120,0.2050
