spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci
0.8056,0.1890,0.0535,0.0009,0,0,0
0.8440,0.1890,0.0535,0.0023,0,0,0
0.8576,0.1890,0.0535,0.0032,0,0,0
0.8803,0.1890,0.0535,0.0051,0,0,0
0.8862,0.1890,0.0535,0.0058,0,0,0
0.9167,0.1890,0.0535,0.0102,0,0,0
0.9231,0.1890,0.0535,0.0114,0,0,0
0.9394,0.1890,0.0535,0.0149,0,0,0
0.9495,0.1890,0.0535,0.0174,0,0,0
0.9563,0.1890,0.0535,0.0192,0,0,0
0.9667,0.1890,0.0535,0.0223,0,0,0
1.0032,0.1890,0.0535,0.0363,0,0,0
1.0225,0.1890,0.0535,0.0460,0,0,0
1.0304,0.1890,0.0535,0.0504,0,0,0
1.0425,0.1890,0.0535,0.0576,0,0,0
1.0467,0.1890,0.0535,0.0602,0,0,0
1.0508,0.1890,0.0535,0.0628,0,0,0
1.0550,0.1890,0.0535,0.0656,0,0,0
1.0634,0.1890,0.0535,0.0713,0,0,0
1.0677,0.1890,0.0535,0.0743,0,0,0
1.0720,0.1890,0.0535,0.0773,0,0,0
1.0851,0.1890,0.0535,0.0868,0,0,0
1.0895,0.1890,0.0535,0.0902,0,0,0
1.1031,0.1890,0.0535,0.1005,0,0,0
1.1077,0.1890,0.0535,0.1041,0,0,0
1.1217,0.1890,0.0535,0.1153,0,0,0
1.1361,0.1890,0.0535,0.1272,0,0,0
1.1660,0.1890,0.0535,0.1530,0,0,0
