spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility
1.01473684,0.042,0.0497,0.01845201,0
1.01160494,0.042,0.0497,0.01592593,0
1.00787208,0.042,0.0497,0.01439114,0
1.00539877,0.042,0.0497,0.01165644,0
0.99926829,0.042,0.0497,0.01170732,0
0.99321212,0.042,0.0497,0.00933333,0
0.98961353,0.042,0.0497,0.00483092,0
0.98722892,0.042,0.0497,0.00373494,0
0.98131737,0.042,0.0497,0.00311377,0
0.97547619,0.042,0.0497,0.00190476,0
1.01507788,0.208,0.0506,0.06305296,0
1.01192547,0.208,0.0506,0.06111801,0
1.00879257,0.208,0.0506,0.05547988,0
1.00567901,0.208,0.0506,0.05740741,0
1.00196802,0.208,0.0506,0.05522755,0
0.9995092,0.208,0.0506,0.05055215,0
0.99341463,0.208,0.0506,0.05036585,0
0.98739394,0.208,0.0506,0.04715152,0
0.98381643,0.208,0.0506,0.04528986,0
0.98144578,0.208,0.0506,0.0439759,0
1.01171975,0.458,0.0481,0.0910828,0
1.00531646,0.458,0.0481,0.08746835,0
1.00277778,0.458,0.0481,0.09090909,0
0.99899371,0.458,0.0481,0.08389937,0
0.99275,0.458,0.0481,0.085,0
0.99151061,0.458,0.0481,0.08426966,0
0.98965732,0.458,0.0481,0.08323988,0
0.98658385,0.458,0.0481,0.08136646,0
0.98049383,0.458,0.0481,0.07790123,0
0.97687577,0.458,0.0481,0.07589176,0
