spot_strike_ratio,ttm,risk_free_rate,volatility,monte_carlo_vol,net_vol
1.0147,0.0420,0.0497,0.0185,0.0000,0.1388
1.0116,0.0420,0.0497,0.0159,0.0000,0.1323
1.0079,0.0420,0.0497,0.0144,0.0000,0.1336
1.0054,0.0420,0.0497,0.0117,0.0000,0.1238
0.9993,0.0420,0.0497,0.0117,0.0000,0.1402
0.9932,0.0420,0.0497,0.0093,0.0000,0.1400
0.9896,0.0420,0.0497,0.0048,0.0000,0.1130
0.9872,0.0420,0.0497,0.0037,0.0000,0.1063
0.9813,0.0420,0.0497,0.0031,0.0000,0.1093
0.9755,0.0420,0.0497,0.0019,0.0000,0.1000
1.0151,0.2080,0.0506,0.0631,0.0000,0.3888
1.0119,0.2080,0.0506,0.0611,0.0000,0.3863
1.0088,0.2080,0.0506,0.0555,0.0000,0.3610
1.0057,0.2080,0.0506,0.0574,0.0000,0.3812
1.0020,0.2080,0.0506,0.0552,0.0000,0.3779
0.9995,0.2080,0.0506,0.0506,0.0000,0.3556
0.9934,0.2080,0.0506,0.0504,0.0000,0.3699
0.9874,0.2080,0.0506,0.0472,0.0000,0.3645
0.9838,0.2080,0.0506,0.0453,0.0000,0.3612
0.9814,0.2080,0.0506,0.0440,0.0000,0.3584
1.0117,0.4580,0.0481,0.0911,0.0000,0.4726
1.0053,0.4580,0.0481,0.0875,0.0000,0.4711
1.0028,0.4580,0.0481,0.0909,0.0000,0.4914
0.9990,0.4580,0.0481,0.0839,0.0000,0.4691
0.9927,0.4580,0.0481,0.0850,0.0000,0.4867
0.9915,0.4580,0.0481,0.0843,0.0000,0.4861
0.9897,0.4580,0.0481,0.0832,0.0000,0.4853
0.9866,0.4580,0.0481,0.0814,0.0000,0.4832
0.9805,0.4580,0.0481,0.0779,0.0000,0.4798
0.9769,0.4580,0.0481,0.0759,0.0000,0.4777
