spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta,vega,theta,rho,gamma
0.9317,1.1047,0.0886,0.2364,ARITHMETIC,0.0480,0.0653,0.3851,0.0678,-0.0283,0.1449,2.0425
0.9711,1.3943,0.0532,0.1891,ARITHMETIC,0.0561,0.0819,0.4685,0.0829,-0.0346,0.1770,2.2792
0.8641,0.5139,0.1477,0.4491,ARITHMETIC,0.0369,0.0480,0.2923,0.0518,-0.0216,0.1106,1.6773
1.2540,0.7364,0.1729,0.3078,ARITHMETIC,0.3045,0.3151,0.9442,0.1429,-0.0596,0.3070,-0.2115
0.8090,0.8100,0.1142,0.3076,GEOMETRIC,0.0143,0.0288,0.1797,0.0309,-0.0129,0.0660,1.1141
1.0083,0.7847,0.1511,0.3968,GEOMETRIC,0.1103,0.1111,0.5965,0.1090,-0.0455,0.2326,2.3619
0.9515,0.7643,0.1508,0.4454,ARITHMETIC,0.0941,0.0901,0.5072,0.0926,-0.0386,0.1976,2.3123
0.9501,1.1763,0.0430,0.4346,ARITHMETIC,0.1042,0.0832,0.4753,0.0860,-0.0359,0.1835,2.2703
0.8650,0.9925,0.0288,0.3954,GEOMETRIC,0.0418,0.0400,0.2458,0.0429,-0.0179,0.0916,1.4610
0.7554,1.0578,0.1755,0.2494,ARITHMETIC,0.0105,0.0269,0.1691,0.0296,-0.0124,0.0633,1.0575
1.1067,0.8895,0.1648,0.3008,GEOMETRIC,0.1771,0.1775,0.8039,0.1431,-0.0597,0.3056,1.7775
0.9982,0.8317,0.1629,0.2583,ARITHMETIC,0.0905,0.1021,0.5605,0.1002,-0.0418,0.2140,2.4060
0.7970,0.9236,0.0973,0.1909,GEOMETRIC,0.0030,0.0240,0.1487,0.0246,-0.0103,0.0527,0.9339
1.4098,1.3742,0.1202,0.1618,GEOMETRIC,0.4481,0.4433,0.8562,0.0857,-0.0357,0.1880,-0.3073
1.1578,0.9578,0.0123,0.1410,GEOMETRIC,0.1638,0.1555,0.7654,0.1279,-0.0533,0.2737,2.4423
1.4486,1.0236,0.0856,0.1277,ARITHMETIC,0.4720,0.4712,0.9657,0.0882,-0.0368,0.1947,-0.1994
1.9397,0.6757,0.0068,0.1439,ARITHMETIC,0.9412,0.9490,0.8635,0.0059,-0.0025,0.0237,-1.6399
1.8064,1.4782,0.0905,0.0914,GEOMETRIC,0.8138,0.8067,0.9969,0.0080,-0.0033,0.0299,-0.4063
