spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
0.9000,1.1824,0.0500,0.2000,ARITHMETIC,0.0193,0.0183,0.0202
0.9000,0.5538,0.0500,0.2000,ARITHMETIC,0.0061,0.0056,0.0065
0.9000,0.7204,0.0500,0.2000,ARITHMETIC,0.0096,0.0090,0.0102
0.9000,0.6844,0.0500,0.2000,ARITHMETIC,0.0091,0.0085,0.0097
0.9000,0.6759,0.0500,0.2000,ARITHMETIC,0.0087,0.0081,0.0092
0.9000,1.3121,0.0500,0.2000,ARITHMETIC,0.0231,0.0220,0.0242
0.9000,1.4233,0.0500,0.2000,ARITHMETIC,0.0250,0.0239,0.0262
0.9000,0.7766,0.0500,0.2000,ARITHMETIC,0.0106,0.0100,0.0113
0.9000,1.3198,0.0500,0.2000,ARITHMETIC,0.0235,0.0224,0.0245
0.9000,1.3899,0.0500,0.2000,ARITHMETIC,0.0230,0.0220,0.0241
0.9000,1.0130,0.0500,0.2000,ARITHMETIC,0.0160,0.0152,0.0169
0.9000,0.7450,0.0500,0.2000,ARITHMETIC,0.0101,0.0095,0.0108
0.9000,1.3242,0.0500,0.2000,ARITHMETIC,0.0229,0.0219,0.0240
0.9000,0.7138,0.0500,0.2000,ARITHMETIC,0.0097,0.0091,0.0103
0.9000,1.2415,0.0500,0.2000,ARITHMETIC,0.0215,0.0205,0.0225
0.9000,1.1299,0.0500,0.2000,ARITHMETIC,0.0184,0.0174,0.0193
0.9000,1.4274,0.0500,0.2000,ARITHMETIC,0.0255,0.0243,0.0266
0.9000,0.7319,0.0500,0.2000,ARITHMETIC,0.0099,0.0093,0.0105
0.9000,1.2991,0.0500,0.2000,ARITHMETIC,0.0226,0.0216,0.0237
0.9000,1.0182,0.0500,0.2000,ARITHMETIC,0.0159,0.0151,0.0168
0.9000,0.7316,0.0500,0.2000,ARITHMETIC,0.0094,0.0088,0.0100
0.9000,0.6659,0.0500,0.2000,ARITHMETIC,0.0081,0.0076,0.0086
0.9000,0.9978,0.0500,0.2000,ARITHMETIC,0.0154,0.0146,0.0162
0.9000,1.0827,0.0500,0.2000,ARITHMETIC,0.0172,0.0163,0.0181
0.9000,0.6843,0.0500,0.2000,ARITHMETIC,0.0090,0.0084,0.0095
0.9000,0.5149,0.0500,0.2000,ARITHMETIC,0.0056,0.0052,0.0060
0.9000,0.9711,0.0500,0.2000,ARITHMETIC,0.0154,0.0146,0.0162
0.9000,1.2282,0.0500,0.2000,ARITHMETIC,0.0206,0.0196,0.0216
0.9000,1.4186,0.0500,0.2000,ARITHMETIC,0.0250,0.0239,0.0262
0.9000,1.1255,0.0500,0.2000,ARITHMETIC,0.0188,0.0179,0.0197
0.9000,1.4171,0.0500,0.2000,ARITHMETIC,0.0256,0.0244,0.0267
0.9000,1.3647,0.0500,0.2000,ARITHMETIC,0.0237,0.0226,0.0248
0.9000,0.7181,0.0500,0.2000,ARITHMETIC,0.0096,0.0090,0.0102
0.9000,1.3661,0.0500,0.2000,ARITHMETIC,0.0242,0.0231,0.0254
0.9000,1.2308,0.0500,0.2000,ARITHMETIC,0.0209,0.0199,0.0219
0.9000,0.7779,0.0500,0.2000,ARITHMETIC,0.0107,0.0101,0.0114
0.9000,1.2970,0.0500,0.2000,ARITHMETIC,0.0219,0.0209,0.0229
0.9000,1.3652,0.0500,0.2000,ARITHMETIC,0.0236,0.0225,0.0246
0.9000,0.7994,0.0500,0.2000,ARITHMETIC,0.0116,0.0109,0.0123
0.9000,1.0270,0.0500,0.2000,ARITHMETIC,0.0160,0.0151,0.0168
0.9000,0.5715,0.0500,0.2000,ARITHMETIC,0.0064,0.0059,0.0069
0.9000,1.0832,0.0500,0.2000,ARITHMETIC,0.0176,0.0167,0.0185
0.9000,0.7379,0.0500,0.2000,ARITHMETIC,0.0101,0.0095,0.0107
0.9000,1.2650,0.0500,0.2000,ARITHMETIC,0.0211,0.0201,0.0221
0.9000,0.6736,0.0500,0.2000,ARITHMETIC,0.0086,0.0081,0.0092
0.9000,0.8127,0.0500,0.2000,ARITHMETIC,0.0112,0.0106,0.0119
0.9000,0.5145,0.0500,0.2000,ARITHMETIC,0.0049,0.0045,0.0053
0.9000,0.5326,0.0500,0.2000,ARITHMETIC,0.0056,0.0052,0.0061
0.9000,0.9967,0.0500,0.2000,ARITHMETIC,0.0152,0.0144,0.0161
0.9000,0.9683,0.0500,0.2000,ARITHMETIC,0.0146,0.0138,0.0154
0.9000,0.6277,0.0500,0.2000,ARITHMETIC,0.0078,0.0072,0.0083
0.9000,0.7576,0.0500,0.2000,ARITHMETIC,0.0104,0.0097,0.0110
0.9000,0.5032,0.0500,0.2000,ARITHMETIC,0.0051,0.0047,0.0055
0.9000,0.8811,0.0500,0.2000,ARITHMETIC,0.0133,0.0125,0.0140
0.9000,1.0759,0.0500,0.2000,ARITHMETIC,0.0178,0.0169,0.0186
0.9000,0.9273,0.0500,0.2000,ARITHMETIC,0.0143,0.0135,0.0150
0.9000,1.3351,0.0500,0.2000,ARITHMETIC,0.0234,0.0223,0.0245
0.9000,1.1165,0.0500,0.2000,ARITHMETIC,0.0183,0.0174,0.0192
0.9000,0.7661,0.0500,0.2000,ARITHMETIC,0.0104,0.0098,0.0111
0.9000,1.3110,0.0500,0.2000,ARITHMETIC,0.0226,0.0216,0.0237
0.9000,0.9995,0.0500,0.2000,ARITHMETIC,0.0154,0.0146,0.0162
0.9000,1.2588,0.0500,0.2000,ARITHMETIC,0.0215,0.0205,0.0225
0.9000,1.0661,0.0500,0.2000,ARITHMETIC,0.0170,0.0161,0.0179
0.9000,0.9374,0.0500,0.2000,ARITHMETIC,0.0148,0.0140,0.0156
0.9000,0.8962,0.0500,0.2000,ARITHMETIC,0.0131,0.0124,0.0139
0.9000,0.5222,0.0500,0.2000,ARITHMETIC,0.0053,0.0049,0.0057
0.9000,0.9694,0.0500,0.2000,ARITHMETIC,0.0145,0.0137,0.0153
0.9000,1.1236,0.0500,0.2000,ARITHMETIC,0.0189,0.0179,0.0198
0.9000,1.4461,0.0500,0.2000,ARITHMETIC,0.0256,0.0244,0.0267
0.9000,0.9353,0.0500,0.2000,ARITHMETIC,0.0140,0.0132,0.0147
0.9000,0.9856,0.0500,0.2000,ARITHMETIC,0.0161,0.0152,0.0170
0.9000,1.0191,0.0500,0.2000,ARITHMETIC,0.0163,0.0154,0.0171
0.9000,0.9086,0.0500,0.2000,ARITHMETIC,0.0130,0.0123,0.0138
0.9000,1.0788,0.0500,0.2000,ARITHMETIC,0.0179,0.0170,0.0188
0.9000,0.5704,0.0500,0.2000,ARITHMETIC,0.0067,0.0062,0.0071
0.9000,0.9884,0.0500,0.2000,ARITHMETIC,0.0167,0.0158,0.0176
0.9000,1.1101,0.0500,0.2000,ARITHMETIC,0.0174,0.0166,0.0183
0.9000,1.2439,0.0500,0.2000,ARITHMETIC,0.0205,0.0195,0.0215
0.9000,0.9298,0.0500,0.2000,ARITHMETIC,0.0135,0.0127,0.0142
0.9000,0.8028,0.0500,0.2000,ARITHMETIC,0.0117,0.0110,0.0124
0.9000,0.5059,0.0500,0.2000,ARITHMETIC,0.0052,0.0048,0.0056
0.9000,1.2565,0.0500,0.2000,ARITHMETIC,0.0215,0.0205,0.0225
0.9000,0.5776,0.0500,0.2000,ARITHMETIC,0.0065,0.0060,0.0070
0.9000,0.9900,0.0500,0.2000,ARITHMETIC,0.0156,0.0148,0.0165
0.9000,0.8044,0.0500,0.2000,ARITHMETIC,0.0118,0.0111,0.0124
0.9000,1.3408,0.0500,0.2000,ARITHMETIC,0.0239,0.0228,0.0250
0.9000,1.4505,0.0500,0.2000,ARITHMETIC,0.0264,0.0252,0.0275
0.9000,0.8189,0.0500,0.2000,ARITHMETIC,0.0118,0.0111,0.0125
0.9000,1.3978,0.0500,0.2000,ARITHMETIC,0.0247,0.0235,0.0258
0.9000,0.8375,0.0500,0.2000,ARITHMETIC,0.0115,0.0108,0.0122
0.9000,1.3121,0.0500,0.2000,ARITHMETIC,0.0229,0.0218,0.0240
0.9000,1.2988,0.0500,0.2000,ARITHMETIC,0.0219,0.0208,0.0230
0.9000,1.1553,0.0500,0.2000,ARITHMETIC,0.0188,0.0178,0.0197
0.9000,0.7287,0.0500,0.2000,ARITHMETIC,0.0097,0.0091,0.0103
0.9000,0.6377,0.0500,0.2000,ARITHMETIC,0.0078,0.0073,0.0083
0.9000,0.9244,0.0500,0.2000,ARITHMETIC,0.0139,0.0131,0.0147
0.9000,0.6515,0.0500,0.2000,ARITHMETIC,0.0083,0.0078,0.0089
0.9000,1.3733,0.0500,0.2000,ARITHMETIC,0.0242,0.0231,0.0253
0.9000,0.6791,0.0500,0.2000,ARITHMETIC,0.0084,0.0079,0.0090
0.9000,0.5303,0.0500,0.2000,ARITHMETIC,0.0052,0.0048,0.0056
0.9000,1.0592,0.0500,0.2000,ARITHMETIC,0.0171,0.0162,0.0180
0.9000,0.9288,0.0500,0.2000,ARITHMETIC,0.0142,0.0134,0.0150
0.9000,1.3586,0.0500,0.2000,ARITHMETIC,0.0239,0.0228,0.0250
0.9000,0.6608,0.0500,0.2000,ARITHMETIC,0.0084,0.0079,0.0090
0.9000,0.8604,0.0500,0.2000,ARITHMETIC,0.0128,0.0120,0.0135
0.9000,1.1405,0.0500,0.2000,ARITHMETIC,0.0182,0.0173,0.0191
0.9000,1.4311,0.0500,0.2000,ARITHMETIC,0.0261,0.0249,0.0273
0.9000,0.7618,0.0500,0.2000,ARITHMETIC,0.0104,0.0097,0.0110
0.9000,1.1881,0.0500,0.2000,ARITHMETIC,0.0196,0.0186,0.0206
0.9000,0.6491,0.0500,0.2000,ARITHMETIC,0.0075,0.0070,0.0081
0.9000,1.2402,0.0500,0.2000,ARITHMETIC,0.0207,0.0197,0.0217
0.9000,0.7932,0.0500,0.2000,ARITHMETIC,0.0108,0.0102,0.0115
0.9000,0.7437,0.0500,0.2000,ARITHMETIC,0.0096,0.0090,0.0101
0.9000,0.7298,0.0500,0.2000,ARITHMETIC,0.0098,0.0092,0.0104
0.9000,0.8707,0.0500,0.2000,ARITHMETIC,0.0135,0.0127,0.0142
0.9000,0.8286,0.0500,0.2000,ARITHMETIC,0.0115,0.0108,0.0122
0.9000,1.1126,0.0500,0.2000,ARITHMETIC,0.0185,0.0176,0.0195
0.9000,1.0447,0.0500,0.2000,ARITHMETIC,0.0164,0.0155,0.0173
0.9000,1.2496,0.0500,0.2000,ARITHMETIC,0.0210,0.0200,0.0220
0.9000,0.7950,0.0500,0.2000,ARITHMETIC,0.0111,0.0105,0.0118
0.9000,1.4606,0.0500,0.2000,ARITHMETIC,0.0262,0.0251,0.0274
0.9000,1.0435,0.0500,0.2000,ARITHMETIC,0.0165,0.0157,0.0174
