delta,vega,theta,rho,gamma,original_delta,original_delta_left_ci,original_delta_right_ci,original_vega,original_vega_left_ci,original_vega_right_ci,original_theta,original_theta_left_ci,original_theta_right_ci,original_rho,original_rho_left_ci,original_rho_right_ci
0.0302,0.0222,-0.0037,0.0053,12.4788,0.0723,0.0432,0.1015,0.0588,-0.0441,0.1618,-0.0087,-0.0177,0.0351,0.0224,-0.4958,0.5406
0.0018,0.0012,-0.0002,0.0003,18.5240,0.0015,-0.0033,0.0064,0.0020,-0.0089,0.0130,-0.0002,-0.0018,0.0022,0.0006,-0.1180,0.1192
0.0130,0.0086,-0.0020,0.0021,13.8931,0.0249,0.0084,0.0414,0.0187,-0.0221,0.0595,-0.0054,-0.0161,0.0269,0.0047,-0.2094,0.2188
0.0048,0.0024,-0.0006,0.0008,18.7955,0.0190,-0.0076,0.0456,0.0157,-0.0246,0.0560,-0.0040,-0.0136,0.0216,0.0047,-0.1509,0.1603
0.0135,0.0098,-0.0017,0.0022,13.9744,0.0417,0.0233,0.0602,0.0360,-0.0325,0.1044,-0.0064,-0.0090,0.0217,0.0127,-0.0711,0.0965
7.8944,4.5456,-0.8675,1.5758,10.4641,0.5015,0.3245,0.6786,0.2299,-0.2259,0.6857,-0.0469,-0.0873,0.1812,0.2061,-1.9026,2.3148
0.2423,0.1671,-0.0246,0.0451,12.8016,0.2028,0.1138,0.2919,0.1591,-0.1059,0.4241,-0.0167,-0.0374,0.0707,0.0958,-11.4210,11.6126
0.0007,0.0005,-0.0001,0.0001,19.2259,0.0003,-0.0013,0.0019,0.0004,-0.0026,0.0035,-0.0001,-0.0006,0.0007,0.0001,-0.0123,0.0125
1.1069,0.4554,-0.1365,0.2055,12.5276,0.3301,0.1691,0.4912,0.1673,-0.1340,0.4686,-0.0486,-0.1057,0.2028,0.0946,-2.4519,2.6411
0.0093,0.0064,-0.0013,0.0016,10.2043,0.0056,0.0035,0.0078,0.0049,-0.0102,0.0201,-0.0005,-0.0021,0.0032,0.0011,-0.0274,0.0295
0.0009,0.0006,-0.0001,0.0001,15.8373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
