delta,vega,theta,rho,gamma,original_delta,original_delta_left_ci,original_delta_right_ci,original_vega,original_vega_left_ci,original_vega_right_ci,original_theta,original_theta_left_ci,original_theta_right_ci,original_rho,original_rho_left_ci,original_rho_right_ci
0.7370,0.5563,-0.0866,0.1420,10.0577,0.4563,0.3597,0.5529,0.2183,-0.1600,0.5965,-0.0387,-0.0421,0.1194,0.1916,-0.8119,1.1952
0.6347,0.2577,-0.1122,0.1119,11.9096,0.3118,0.1999,0.4238,0.1261,-0.0869,0.3391,-0.0712,-0.1143,0.2567,0.0565,-0.5864,0.6994
15.7770,7.2169,-1.7802,3.1971,10.3305,0.5024,0.2839,0.7209,0.2336,-0.2431,0.7102,-0.0499,-0.1257,0.2254,0.1868,-4.5987,4.9723
0.0349,0.0246,-0.0040,0.0059,14.9192,0.1207,0.0696,0.1718,0.0901,-0.0613,0.2414,-0.0178,-0.0177,0.0534,0.0434,-0.1696,0.2565
0.0005,0.0003,-0.0001,0.0001,18.7800,0.0001,-0.0008,0.0009,0.0001,-0.0017,0.0019,-0.0000,-0.0004,0.0005,0.0000,-0.0031,0.0032
0.0028,0.0020,-0.0003,0.0005,15.6919,0.0006,-0.0019,0.0031,0.0009,-0.0082,0.0100,-0.0001,-0.0014,0.0016,0.0002,-0.0707,0.0711
0.0036,0.0024,-0.0004,0.0006,19.4184,0.0158,-0.0079,0.0395,0.0167,-0.0297,0.0630,-0.0023,-0.0075,0.0120,0.0060,-0.1067,0.1187
0.0001,0.0001,-0.0000,0.0000,17.9905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1897,0.1251,-0.0213,0.0332,14.0427,0.2798,0.1796,0.3801,0.1590,-0.1073,0.4253,-0.0403,-0.0325,0.1131,0.1032,-0.3009,0.5072
0.0007,0.0004,-0.0001,0.0001,16.9002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0012,0.0007,-0.0001,0.0002,15.9362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1142,0.0859,-0.0147,0.0214,9.3605,0.3219,0.2754,0.3683,0.1796,-0.0960,0.4551,-0.0219,-0.0244,0.0682,0.1181,-0.6870,0.9233
0.0198,0.0091,-0.0024,0.0033,17.3535,0.0646,0.0033,0.1258,0.0480,-0.0496,0.1455,-0.0124,-0.0332,0.0581,0.0168,-0.6241,0.6576
0.0926,0.0684,-0.0116,0.0170,10.0969,0.2979,0.2528,0.3431,0.1733,-0.0916,0.4382,-0.0247,-0.0164,0.0657,0.1148,-0.3044,0.5339
0.0016,0.0008,-0.0002,0.0002,19.7455,0.0056,-0.0103,0.0216,0.0052,-0.0164,0.0269,-0.0012,-0.0075,0.0099,0.0013,-0.0964,0.0991
17.3826,6.1206,-1.7795,3.3425,12.9756,0.4901,0.2058,0.7743,0.2170,-0.2759,0.7099,-0.0609,-0.1218,0.2435,0.1767,-1.3825,1.7359
