delta,vega,theta,rho,gamma,original_delta,original_delta_left_ci,original_delta_right_ci,original_vega,original_vega_left_ci,original_vega_right_ci,original_theta,original_theta_left_ci,original_theta_right_ci,original_rho,original_rho_left_ci,original_rho_right_ci
0.9727,0.0017,-0.0521,0.9394,11.9051,0.9728,0.9393,1.0063,0.0001,-0.2099,0.2102,-0.0115,-0.0402,0.0631,0.2074,-0.7219,1.1367
0.9568,0.0044,-0.1066,0.6675,7.7082,0.9509,0.8436,1.0583,0.0154,-0.3384,0.3692,-0.0209,-0.2210,0.2628,0.0998,-1.4270,1.6267
0.9612,0.0006,-0.1022,0.6591,11.3735,0.9614,0.9423,0.9804,-0.0006,-0.1346,0.1335,-0.0213,-0.0197,0.0623,0.1382,-0.1250,0.4015
0.9916,0.0005,-0.0184,0.8738,6.2896,0.9917,0.9707,1.0126,-0.0007,-0.1752,0.1737,-0.0026,-0.0372,0.0425,0.1288,-1.7606,2.0181
0.9515,0.0003,-0.1122,0.7257,24.8092,0.9517,0.9483,0.9552,-0.0002,-0.0522,0.0517,-0.0354,0.0297,0.0411,0.2291,0.1924,0.2658
0.9053,0.0001,-0.1349,0.9953,2.9808,0.9053,0.8880,0.9226,-0.0008,-0.2023,0.2006,0.0017,-0.0285,0.0250,-0.0124,-0.2089,0.1841
0.9488,0.0007,-0.1765,0.4828,2.4585,0.9488,0.9088,0.9889,-0.0009,-0.2131,0.2114,0.0017,-0.1464,0.1430,-0.0038,-0.3980,0.3905
0.9602,0.0090,-0.0625,1.0195,15.3084,0.9484,0.8624,1.0344,0.0326,-0.3281,0.3932,-0.0197,-0.0954,0.1348,0.2408,-1.6511,2.1327
0.9106,0.0206,-0.1098,0.9766,17.7175,0.8642,0.6361,1.0923,0.1060,-0.4951,0.7071,-0.0446,-0.2413,0.3305,0.1825,-2.4743,2.8393
0.9143,0.0066,-0.1023,1.2061,5.1952,0.9000,0.6884,1.1116,0.0426,-0.6955,0.7807,-0.0129,-0.2432,0.2689,0.0661,-2.9676,3.0998
0.9138,0.0009,-0.1485,0.8498,6.9903,0.9138,0.8763,0.9514,-0.0010,-0.2404,0.2385,-0.0170,-0.0440,0.0780,0.0979,-0.2495,0.4453
0.9066,0.0113,-0.1041,1.2290,10.0587,0.8820,0.6771,1.0869,0.0678,-0.6125,0.7481,-0.0241,-0.1929,0.2410,0.1604,-2.4281,2.7489
-0.7019,0.6112,-0.1366,0.5384,55.5439,0.7076,0.4338,0.9814,0.2200,-0.3628,0.8029,-0.0580,-0.2304,0.3463,0.2164,-17.5737,18.0065
0.9626,0.0003,-0.0820,0.7986,9.3681,0.9626,0.9492,0.9760,-0.0005,-0.1280,0.1270,-0.0151,-0.0095,0.0397,0.1478,-0.0906,0.3861
