delta,vega,theta,rho,gamma,original_delta,original_delta_left_ci,original_delta_right_ci,original_vega,original_vega_left_ci,original_vega_right_ci,original_theta,original_theta_left_ci,original_theta_right_ci,original_rho,original_rho_left_ci,original_rho_right_ci
-8.9414,1.0009,-0.1610,-1.0374,383.9477,0.5403,0.4524,0.6282,0.2558,-0.1966,0.7082,-0.0286,-0.0326,0.0897,0.2958,-1.3027,1.8944
0.8705,0.0754,-0.1707,0.6328,-153.2410,0.9194,0.8712,0.9675,0.0312,-0.1690,0.2315,-0.0565,-0.0266,0.1396,0.2136,-0.1381,0.5653
-8.0500,0.4161,-0.3226,-1.3947,419.6306,0.5294,0.3592,0.6997,0.1818,-0.1817,0.5454,-0.0796,-0.1316,0.2907,0.1357,-0.9312,1.2026
0.0833,0.2439,-0.2399,0.5046,205.6495,0.6704,0.5870,0.7538,0.1712,-0.1564,0.4987,-0.0682,-0.0331,0.1695,0.2134,-0.3018,0.7286
0.9574,0.0005,-0.0785,0.9357,8.2712,0.9575,0.9481,0.9668,0.0005,-0.1061,0.1070,-0.0199,0.0067,0.0332,0.2381,0.0807,0.3955
0.9977,0.0001,-0.0068,0.6708,-1.9436,0.9977,0.9897,1.0058,0.0005,-0.1083,0.1092,-0.0002,-0.0228,0.0233,0.0193,-2.2596,2.2981
0.9711,0.0006,-0.0562,0.9298,20.9068,0.9712,0.9505,0.9918,0.0011,-0.1554,0.1575,-0.0148,-0.0155,0.0450,0.2441,-0.2562,0.7444
0.9154,0.0297,-0.1704,0.4868,235.0851,0.9224,0.8252,1.0195,0.0427,-0.2220,0.3074,-0.0613,-0.1860,0.3087,0.1314,-0.6472,0.9101
0.9555,0.0179,-0.0666,0.7650,115.7739,0.9458,0.8296,1.0621,0.0493,-0.3249,0.4234,-0.0279,-0.1839,0.2396,0.1750,-2.4496,2.7996
0.3190,0.0161,-0.1621,0.5987,142.3257,0.6400,0.4031,0.8769,0.1833,-0.2714,0.6379,-0.0880,-0.1805,0.3565,0.1665,-1.1475,1.4806
0.9928,0.0003,-0.0111,1.2667,3.3659,0.9928,0.9651,1.0206,0.0013,-0.2299,0.2325,-0.0022,-0.0324,0.0368,0.2444,-3.7157,4.2045
0.9542,0.0036,-0.0925,0.8087,87.1935,0.9473,0.7953,1.0992,0.0249,-0.4757,0.5254,-0.0154,-0.2855,0.3162,0.0700,-2.5507,2.6907
0.9976,0.0002,-0.0057,0.8141,0.4078,0.9967,0.8901,1.1033,0.0058,-0.4373,0.4489,-0.0018,-0.2522,0.2558,0.0168,-36.3469,36.3805
0.8701,0.0464,-0.1597,0.8339,-39.8164,0.8539,0.7273,0.9805,0.0847,-0.3126,0.4819,-0.0570,-0.0990,0.2129,0.2315,-0.6555,1.1185
0.8160,0.1301,-0.1335,1.0495,10.1739,0.8749,0.7804,0.9693,0.0496,-0.3359,0.4351,-0.0397,-0.0544,0.1338,0.2796,-0.4962,1.0555
0.8018,0.1881,-0.1407,0.8612,-125.3976,0.8845,0.8052,0.9637,0.0640,-0.2515,0.3796,-0.0487,-0.0450,0.1424,0.2792,-0.3831,0.9416
0.9562,0.0005,-0.0839,0.8928,20.5700,0.9548,0.9059,1.0037,0.0060,-0.2468,0.2587,-0.0192,-0.0565,0.0950,0.1958,-0.6078,0.9994
-5.2661,0.0665,-0.1247,-0.4207,360.8871,0.5690,0.3639,0.7741,0.2214,-0.2597,0.7024,-0.0596,-0.1075,0.2267,0.2115,-1.4511,1.8741
-0.7927,0.3344,-0.2710,0.2072,289.8085,0.5826,0.4777,0.6875,0.1773,-0.1526,0.5072,-0.0674,-0.0821,0.2169,0.1531,-0.6844,0.9906
-0.5636,0.0128,-0.1202,0.7110,213.6332,0.6165,0.3582,0.8747,0.2199,-0.3281,0.7679,-0.0639,-0.1345,0.2623,0.2230,-1.6065,2.0525
0.9514,0.0003,-0.0884,0.9262,0.0005,0.9515,0.8981,1.0049,0.0016,-0.3478,0.3510,0.0022,-0.1054,0.1011,-0.0252,-1.1031,1.0528
0.9298,0.0018,-0.1739,0.6155,265.0941,0.9320,0.9218,0.9422,0.0009,-0.0766,0.0784,-0.0636,0.0462,0.0809,0.2258,0.1644,0.2871
0.8856,0.0657,-0.1757,0.4809,-101.4652,0.8658,0.7322,0.9995,0.0878,-0.2253,0.4009,-0.0828,-0.2249,0.3904,0.1403,-0.9384,1.2190
0.9314,0.0001,-0.1071,1.0021,2.6494,0.9293,0.8363,1.0223,0.0098,-0.4128,0.4323,-0.0128,-0.1237,0.1493,0.1054,-1.1658,1.3765
0.9004,0.0092,-0.1348,0.9879,158.2920,0.8901,0.7070,1.0732,0.0437,-0.5551,0.6426,-0.0229,-0.2257,0.2715,0.1027,-1.7224,1.9278
0.9619,0.0005,-0.1158,0.5756,10.6323,0.9619,0.9602,0.9636,0.0001,-0.0315,0.0318,-0.0389,0.0354,0.0424,0.1935,0.1762,0.2109
0.9378,0.0005,-0.1180,0.8445,58.0984,0.9381,0.9283,0.9479,0.0004,-0.0985,0.0993,-0.0342,0.0203,0.0480,0.2449,0.1458,0.3439
0.9867,0.0011,-0.0404,0.6075,36.8122,0.9852,0.8956,1.0747,0.0069,-0.3156,0.3294,-0.0069,-0.2474,0.2612,0.0634,-3.7569,3.8837
0.9648,0.0001,-0.0646,0.9594,2.5964,0.9616,0.8472,1.0759,0.0129,-0.4601,0.4859,-0.0077,-0.1910,0.2064,0.0747,-2.8607,3.0102
0.9602,0.0001,-0.1357,0.5096,4.6071,0.9602,0.9570,0.9635,0.0002,-0.0422,0.0425,-0.0430,0.0352,0.0507,0.1613,0.1323,0.1903
0.9512,0.0037,-0.1397,0.5702,89.5062,0.9493,0.8770,1.0216,0.0092,-0.2486,0.2671,-0.0291,-0.1513,0.2096,0.1063,-0.6288,0.8413
0.9394,0.0003,-0.1610,0.6069,-0.1738,0.9395,0.9176,0.9613,0.0007,-0.1622,0.1637,-0.0120,-0.0440,0.0681,0.0450,-0.1656,0.2555
0.3540,0.0251,-0.1749,0.5225,140.4024,0.6409,0.4219,0.8599,0.1740,-0.2442,0.5923,-0.0954,-0.1872,0.3780,0.1522,-1.0180,1.3224
0.7773,0.1874,-0.1340,1.0482,-46.3727,0.8591,0.7676,0.9507,0.0648,-0.3101,0.4397,-0.0451,-0.0391,0.1292,0.3135,-0.3796,1.0066
0.9810,0.0009,-0.0353,1.0115,0.4057,0.9810,0.9775,0.9844,0.0003,-0.0706,0.0712,-0.0075,0.0025,0.0126,0.2166,0.0711,0.3621
-0.9614,0.0403,-0.0815,0.5303,235.2691,0.6021,0.3997,0.8045,0.2239,-0.2639,0.7116,-0.0568,-0.1303,0.2439,0.2121,-2.6396,3.0639
-2.9737,0.0685,-0.1792,0.0529,317.9019,0.6129,0.4582,0.7676,0.1988,-0.2381,0.6357,-0.0662,-0.0537,0.1862,0.2453,-0.5063,0.9970
