delta,vega,theta,rho,gamma,original_delta,original_delta_left_ci,original_delta_right_ci,original_vega,original_vega_left_ci,original_vega_right_ci,original_theta,original_theta_left_ci,original_theta_right_ci,original_rho,original_rho_left_ci,original_rho_right_ci
-0.8675,1.0673,-0.1012,0.9616,97.8253,0.5403,0.4524,0.6282,0.2558,-0.1966,0.7082,-0.0286,-0.0326,0.0897,0.2958,-1.3027,1.8944
0.9303,0.0120,-0.1531,0.6442,34.5600,0.9194,0.8712,0.9675,0.0312,-0.1690,0.2315,-0.0565,-0.0266,0.1396,0.2136,-0.1381,0.5653
-33.8301,9.4615,-1.8791,-4.6734,103.3536,0.5294,0.3592,0.6997,0.1818,-0.1817,0.5454,-0.0796,-0.1316,0.2907,0.1357,-0.9312,1.2026
0.0913,0.5278,-0.1841,0.5835,88.2927,0.6704,0.5870,0.7538,0.1712,-0.1564,0.4987,-0.0682,-0.0331,0.1695,0.2134,-0.3018,0.7286
0.9573,0.0003,-0.0783,0.9357,16.0608,0.9575,0.9481,0.9668,0.0005,-0.1061,0.1070,-0.0199,0.0067,0.0332,0.2381,0.0807,0.3955
0.9977,0.0001,-0.0068,0.6708,2.5419,0.9977,0.9897,1.0058,0.0005,-0.1083,0.1092,-0.0002,-0.0228,0.0233,0.0193,-2.2596,2.2981
0.9708,0.0010,-0.0560,0.9296,16.4806,0.9712,0.9505,0.9918,0.0011,-0.1554,0.1575,-0.0148,-0.0155,0.0450,0.2441,-0.2562,0.7444
0.9436,0.0097,-0.1590,0.4873,22.1808,0.9224,0.8252,1.0195,0.0427,-0.2220,0.3074,-0.0613,-0.1860,0.3087,0.1314,-0.6472,0.9101
0.9661,0.0112,-0.0638,0.7635,15.0677,0.9458,0.8296,1.0621,0.0493,-0.3249,0.4234,-0.0279,-0.1839,0.2396,0.1750,-2.4496,2.7996
-6.1792,1.7332,-0.5449,-0.6116,79.8510,0.6400,0.4031,0.8769,0.1833,-0.2714,0.6379,-0.0880,-0.1805,0.3565,0.1665,-1.1475,1.4806
0.9926,0.0008,-0.0111,1.2666,8.8953,0.9928,0.9651,1.0206,0.0013,-0.2299,0.2325,-0.0022,-0.0324,0.0368,0.2444,-3.7157,4.2045
0.9542,0.0045,-0.0934,0.8067,5.0352,0.9473,0.7953,1.0992,0.0249,-0.4757,0.5254,-0.0154,-0.2855,0.3162,0.0700,-2.5507,2.6907
0.9968,0.0032,-0.0063,0.8126,2.5059,0.9967,0.8901,1.1033,0.0058,-0.4373,0.4489,-0.0018,-0.2522,0.2558,0.0168,-36.3469,36.3805
0.8791,0.0315,-0.1537,0.8471,32.0341,0.8539,0.7273,0.9805,0.0847,-0.3126,0.4819,-0.0570,-0.0990,0.2129,0.2315,-0.6555,1.1185
0.8893,0.0144,-0.1312,1.0771,25.2434,0.8749,0.7804,0.9693,0.0496,-0.3359,0.4351,-0.0397,-0.0544,0.1338,0.2796,-0.4962,1.0555
0.9064,0.0230,-0.1294,0.9019,35.2375,0.8845,0.8052,0.9637,0.0640,-0.2515,0.3796,-0.0487,-0.0450,0.1424,0.2792,-0.3831,0.9416
0.9554,0.0031,-0.0839,0.8922,12.7194,0.9548,0.9059,1.0037,0.0060,-0.2468,0.2587,-0.0192,-0.0565,0.0950,0.1958,-0.6078,0.9994
-27.6211,9.7266,-1.0765,-3.9866,97.8225,0.5690,0.3639,0.7741,0.2214,-0.2597,0.7024,-0.0596,-0.1075,0.2267,0.2115,-1.4511,1.8741
-1.9311,1.5216,-0.2877,0.1623,92.8596,0.5826,0.4777,0.6875,0.1773,-0.1526,0.5072,-0.0674,-0.0821,0.2169,0.1531,-0.6844,0.9906
-15.5047,4.8074,-0.6950,-2.1206,86.6181,0.6165,0.3582,0.8747,0.2199,-0.3281,0.7679,-0.0639,-0.1345,0.2623,0.2230,-1.6065,2.0525
0.9512,0.0010,-0.0883,0.9262,2.2006,0.9515,0.8981,1.0049,0.0016,-0.3478,0.3510,0.0022,-0.1054,0.1011,-0.0252,-1.1031,1.0528
0.9306,0.0019,-0.1733,0.6154,40.8900,0.9320,0.9218,0.9422,0.0009,-0.0766,0.0784,-0.0636,0.0462,0.0809,0.2258,0.1644,0.2871
0.9026,0.0286,-0.1545,0.4851,34.1103,0.8658,0.7322,0.9995,0.0878,-0.2253,0.4009,-0.0828,-0.2249,0.3904,0.1403,-0.9384,1.2190
0.9305,0.0036,-0.1073,1.0011,6.1440,0.9293,0.8363,1.0223,0.0098,-0.4128,0.4323,-0.0128,-0.1237,0.1493,0.1054,-1.1658,1.3765
0.9036,0.0065,-0.1350,0.9863,7.7152,0.8901,0.7070,1.0732,0.0437,-0.5551,0.6426,-0.0229,-0.2257,0.2715,0.1027,-1.7224,1.9278
0.9618,0.0003,-0.1158,0.5756,26.3626,0.9619,0.9602,0.9636,0.0001,-0.0315,0.0318,-0.0389,0.0354,0.0424,0.1935,0.1762,0.2109
0.9378,0.0005,-0.1177,0.8445,22.6792,0.9381,0.9283,0.9479,0.0004,-0.0985,0.0993,-0.0342,0.0203,0.0480,0.2449,0.1458,0.3439
0.9859,0.0032,-0.0412,0.6061,4.7320,0.9852,0.8956,1.0747,0.0069,-0.3156,0.3294,-0.0069,-0.2474,0.2612,0.0634,-3.7569,3.8837
0.9637,0.0041,-0.0651,0.9578,4.3739,0.9616,0.8472,1.0759,0.0129,-0.4601,0.4859,-0.0077,-0.1910,0.2064,0.0747,-2.8607,3.0102
0.9601,0.0002,-0.1357,0.5096,24.6504,0.9602,0.9570,0.9635,0.0002,-0.0422,0.0425,-0.0430,0.0352,0.0507,0.1613,0.1323,0.1903
0.9512,0.0037,-0.1402,0.5695,10.1075,0.9493,0.8770,1.0216,0.0092,-0.2486,0.2671,-0.0291,-0.1513,0.2096,0.1063,-0.6288,0.8413
0.9394,0.0003,-0.1609,0.6069,4.5600,0.9395,0.9176,0.9613,0.0007,-0.1622,0.1637,-0.0120,-0.0440,0.0681,0.0450,-0.1656,0.2555
-5.1433,1.4555,-0.5427,-0.4642,79.8924,0.6409,0.4219,0.8599,0.1740,-0.2442,0.5923,-0.0954,-0.1872,0.3780,0.1522,-1.0180,1.3224
0.8766,0.0229,-0.1335,1.0894,33.4915,0.8591,0.7676,0.9507,0.0648,-0.3101,0.4397,-0.0451,-0.0391,0.1292,0.3135,-0.3796,1.0066
0.9809,0.0001,-0.0351,1.0115,9.9109,0.9810,0.9775,0.9844,0.0003,-0.0706,0.0712,-0.0075,0.0025,0.0126,0.2166,0.0711,0.3621
-8.9989,3.7922,-0.5008,-1.0115,85.2575,0.6021,0.3997,0.8045,0.2239,-0.2639,0.7116,-0.0568,-0.1303,0.2439,0.2121,-2.6396,3.0639
-10.4412,5.1154,-0.4946,-0.8460,99.1584,0.6129,0.4582,0.7676,0.1988,-0.2381,0.6357,-0.0662,-0.0537,0.1862,0.2453,-0.5063,0.9970
