spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci,predicted_vol,vol_left_ci,vol_right_ci
0.8719,0.1808,0.0535,0.0064,0,0,0,0.4639,0.1059,0.1059
0.9019,0.1808,0.0535,0.0113,0,0,0,0.4486,0.0551,0.0551
0.9082,0.1808,0.0535,0.0126,0,0,0,0.4436,0.0551,0.0551
0.9242,0.1808,0.0535,0.0165,0,0,0,0.4334,0.0551,0.0551
0.9341,0.1808,0.0535,0.0192,0,0,0,0.4232,0.0551,0.0551
0.9409,0.1808,0.0535,0.0212,0,0,0,0.4131,0.0551,0.0551
0.9511,0.1808,0.0535,0.0246,0,0,0,0.4004,0.0551,0.0551
0.9870,0.1808,0.0535,0.0403,0,0,0,0.3242,0.0551,0.0551
1.0060,0.1808,0.0535,0.0509,0,0,0,0.4486,0.0551,0.0551
1.0138,0.1808,0.0535,0.0557,0,0,0,0.4740,0.0551,0.0551
1.0257,0.1808,0.0535,0.0636,0,0,0,0.5020,0.0551,0.0551
1.0298,0.1808,0.0535,0.0664,0,0,0,0.5096,0.0551,0.0551
1.0338,0.1808,0.0535,0.0692,0,0,0,0.5146,0.0551,0.0551
1.0379,0.1808,0.0535,0.0721,0,0,0,0.5223,0.0551,0.0551
1.0462,0.1808,0.0535,0.0782,0,0,0,0.5324,0.0551,0.0551
1.0504,0.1808,0.0535,0.0814,0,0,0,0.5375,0.0576,0.0576
1.0547,0.1808,0.0535,0.0846,0,0,0,0.5400,0.0602,0.0602
1.0676,0.1808,0.0535,0.0946,0,0,0,0.5477,0.0729,0.0729
1.0720,0.1808,0.0535,0.0981,0,0,0,0.5477,0.0779,0.0779
1.0853,0.1808,0.0535,0.1090,0,0,0,0.5527,0.0982,0.0982
1.0898,0.1808,0.0535,0.1127,0,0,0,0.5527,0.1059,0.1059
1.1036,0.1808,0.0535,0.1245,0,0,0,0.5553,0.1287,0.1287
1.1178,0.1808,0.0535,0.1369,0,0,0,0.5578,0.1490,0.1490
1.1472,0.1808,0.0535,0.1636,0,0,0,0.5654,0.1820,0.1820
