spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci,predicted_vol,vol_left_ci,vol_right_ci
0.9755,0.0420,0.0497,0.0019,0,,,0.1389,0.0551,0.0551
0.9813,0.0420,0.0497,0.0031,0,,,0.1465,0.0551,0.0551
0.9872,0.0420,0.0497,0.0037,0,,,0.1465,0.0551,0.0551
0.9896,0.0420,0.0497,0.0048,0,,,0.1516,0.0551,0.0551
0.9932,0.0420,0.0497,0.0093,0,,,0.1744,0.0551,0.0551
0.9993,0.0420,0.0497,0.0117,0,,,0.1719,0.0551,0.0551
1.0054,0.0420,0.0497,0.0117,0,,,0.1490,0.0551,0.0551
1.0079,0.0420,0.0497,0.0144,0,,,0.1516,0.0551,0.0551
1.0116,0.0420,0.0497,0.0159,0,,,0.1389,0.0551,0.0551
1.0147,0.0420,0.0497,0.0185,0,,,0.1363,0.0551,0.0551
