spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci,predicted_vol,vol_left_ci,vol_right_ci
0.9269,0.0603,0.0630,0.0010,0,0,0,0.0551,0.0551,0.0551
0.9335,0.0603,0.0630,0.0013,0,0,0,0.0551,0.0551,0.0551
0.9369,0.0603,0.0630,0.0016,0,0,0,0.0551,0.0551,0.0551
0.9437,0.0603,0.0630,0.0023,0,0,0,0.0551,0.0551,0.0551
0.9472,0.0603,0.0630,0.0026,0,0,0,0.0551,0.0551,0.0551
0.9541,0.0603,0.0630,0.0036,0,0,0,0.0551,0.0551,0.0551
0.9612,0.0603,0.0630,0.0050,0,0,0,0.0551,0.0551,0.0551
0.9684,0.0603,0.0630,0.0067,0,0,0,0.0551,0.0551,0.0551
0.9720,0.0603,0.0630,0.0077,0,0,0,0.0551,0.0551,0.0551
0.9793,0.0603,0.0630,0.0101,0,0,0,0.0551,0.0551,0.0551
0.9868,0.0603,0.0630,0.0131,0,0,0,0.0551,0.0551,0.0551
0.9982,0.0603,0.0630,0.0187,0,0,0,0.6863,0.6924,0.6924
1.0020,0.0603,0.0630,0.0209,0,0,0,0.6924,0.6924,0.6924
1.0059,0.0603,0.0630,0.0233,0,0,0,0.6898,0.6924,0.6924
1.0098,0.0603,0.0630,0.0258,0,0,0,0.6873,0.6924,0.6924
1.0138,0.0603,0.0630,0.0284,0,0,0,0.6802,0.6924,0.6924
1.0177,0.0603,0.0630,0.0313,0,0,0,0.6898,0.6924,0.6924
1.0217,0.0603,0.0630,0.0343,0,0,0,0.6924,0.6924,0.6924
1.0258,0.0603,0.0630,0.0374,0,0,0,0.6802,0.6924,0.6924
1.0298,0.0603,0.0630,0.0408,0,0,0,0.6878,0.6924,0.6924
1.0339,0.0603,0.0630,0.0442,0,0,0,0.6873,0.6924,0.6924
1.0381,0.0603,0.0630,0.0478,0,0,0,0.6782,0.6924,0.6924
1.0465,0.0603,0.0630,0.0553,0,0,0,0.6898,0.6924,0.6924
1.0507,0.0603,0.0630,0.0593,0,0,0,0.6883,0.6924,0.6924
1.0593,0.0603,0.0630,0.0674,0,0,0,0.6898,0.6924,0.6924
1.0636,0.0603,0.0630,0.0715,0,0,0,0.6924,0.6924,0.6924
1.0813,0.0603,0.0630,0.0888,0,0,0,0.6914,0.6924,0.6924
