spot_strike_ratio,ttm,risk_free_rate,price_strike_ratio,volatility,left_ci,right_ci,predicted_vol,vol_left_ci,vol_right_ci
0.8387,0.1534,0.0543,0.0023,0,0,0,0.5096,0.0551,0.0551
0.8609,0.1534,0.0543,0.0039,0,0,0,0.5756,0.0551,0.0551
0.8667,0.1534,0.0543,0.0044,0,0,0,0.5908,0.0551,0.0551
0.8754,0.1534,0.0543,0.0053,0,0,0,0.6111,0.0551,0.0551
0.8966,0.1534,0.0543,0.0079,0,0,0,0.6543,0.0551,0.0551
0.9028,0.1534,0.0543,0.0089,0,0,0,0.6695,0.0551,0.0551
0.9091,0.1534,0.0543,0.0100,0,0,0,0.6797,0.0551,0.0551
0.9123,0.1534,0.0543,0.0106,0,0,0,0.6873,0.0551,0.0551
0.9187,0.1534,0.0543,0.0119,0,0,0,0.6924,0.0551,0.0551
0.9253,0.1534,0.0543,0.0133,0,0,0,0.6924,0.0551,0.0551
0.9286,0.1534,0.0543,0.0141,0,0,0,0.6924,0.0551,0.0551
0.9353,0.1534,0.0543,0.0157,0,0,0,0.6924,0.0551,0.0551
0.9455,0.1534,0.0543,0.0185,0,0,0,0.6924,0.0551,0.0551
0.9489,0.1534,0.0543,0.0196,0,0,0,0.6924,0.0551,0.0551
0.9701,0.1534,0.0543,0.0268,0,0,0,0.6924,0.0551,0.0551
0.9811,0.1534,0.0543,0.0313,0,0,0,0.6924,0.0551,0.0551
1.0000,0.1534,0.0543,0.0402,0,0,0,0.6924,0.6924,0.6924
1.0078,0.1534,0.0543,0.0443,0,0,0,0.6909,0.6924,0.6924
1.0196,0.1534,0.0543,0.0512,0,0,0,0.6924,0.6924,0.6924
1.0236,0.1534,0.0543,0.0537,0,0,0,0.6924,0.6924,0.6924
1.0277,0.1534,0.0543,0.0562,0,0,0,0.6914,0.6924,0.6924
1.0317,0.1534,0.0543,0.0588,0,0,0,0.6919,0.6924,0.6924
1.0400,0.1534,0.0543,0.0643,0,0,0,0.6924,0.6924,0.6924
1.0442,0.1534,0.0543,0.0672,0,0,0,0.6924,0.6924,0.6924
1.0484,0.1534,0.0543,0.0702,0,0,0,0.6924,0.6924,0.6924
1.0656,0.1534,0.0543,0.0827,0,0,0,0.6919,0.6924,0.6924
1.0788,0.1534,0.0543,0.0929,0,0,0,0.6919,0.6924,0.6924
1.0833,0.1534,0.0543,0.0965,0,0,0,0.6924,0.6924,0.6924
1.0879,0.1534,0.0543,0.1001,0,0,0,0.6924,0.6924,0.6924
1.0970,0.1534,0.0543,0.1076,0,0,0,0.6924,0.6924,0.6924
1.1111,0.1534,0.0543,0.1192,0,0,0,0.6924,0.6924,0.6924
1.1404,0.1534,0.0543,0.1446,0,0,0,0.6924,0.6924,0.6924
1.1454,0.1534,0.0543,0.1491,0,0,0,0.6924,0.6924,0.6924
