spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta,vega,theta,rho
0.9317,1.1047,0.0886,0.2364,ARITHMETIC,0.0480,0.0900,0.3484,0.0227,-0.0153,0.0665
0.9711,1.3943,0.0532,0.1891,ARITHMETIC,0.0561,0.1059,0.4031,0.0263,-0.0177,0.0769
0.8641,0.5139,0.1477,0.4491,ARITHMETIC,0.0369,0.0689,0.2724,0.0177,-0.0119,0.0520
1.2540,0.7364,0.1729,0.3078,ARITHMETIC,0.3045,0.2863,0.8840,0.0576,-0.0388,0.1687
0.8090,0.8100,0.1142,0.3076,GEOMETRIC,0.0143,0.0503,0.2026,0.0132,-0.0089,0.0387
1.0083,0.7847,0.1511,0.3968,GEOMETRIC,0.1103,0.1149,0.4333,0.0282,-0.0190,0.0827
0.9515,0.7643,0.1508,0.4454,ARITHMETIC,0.0941,0.1012,0.3871,0.0252,-0.0170,0.0739
0.9501,1.1763,0.0430,0.4346,ARITHMETIC,0.1042,0.0994,0.3810,0.0248,-0.0167,0.0727
0.8650,0.9925,0.0288,0.3954,GEOMETRIC,0.0418,0.0623,0.2479,0.0161,-0.0109,0.0473
0.7554,1.0578,0.1755,0.2494,ARITHMETIC,0.0105,0.0476,0.1922,0.0125,-0.0084,0.0367
1.1067,0.8895,0.1648,0.3008,GEOMETRIC,0.1771,0.1656,0.5908,0.0385,-0.0259,0.1127
0.9982,0.8317,0.1629,0.2583,ARITHMETIC,0.0905,0.1177,0.4424,0.0288,-0.0194,0.0844
0.7970,0.9236,0.0973,0.1909,GEOMETRIC,0.0030,0.0468,0.1892,0.0123,-0.0083,0.0361
1.4098,1.3742,0.1202,0.1618,GEOMETRIC,0.4481,0.4282,1.0805,0.0704,-0.0474,0.2062
1.1578,0.9578,0.0123,0.1410,GEOMETRIC,0.1638,0.1744,0.6162,0.0401,-0.0270,0.1176
1.4486,1.0236,0.0856,0.1277,ARITHMETIC,0.4720,0.4673,1.1064,0.0721,-0.0485,0.2111
1.9397,0.6757,0.0068,0.1439,ARITHMETIC,0.9412,0.8996,0.5818,0.0379,-0.0255,0.1110
1.8064,1.4782,0.0905,0.0914,GEOMETRIC,0.8138,0.8275,0.7727,0.0503,-0.0339,0.1475
0.9324,1.2402,0.0528,0.5207,GEOMETRIC,0.1083,0.0891,0.3450,0.0225,-0.0151,0.0658
1.4469,0.9881,0.0594,0.1919,ARITHMETIC,0.4649,0.4628,1.1040,0.0719,-0.0484,0.2107
0.5255,0.9587,0.1296,0.2390,ARITHMETIC,0.0000,0.0175,0.0727,0.0047,-0.0032,0.0139
1.3682,0.5417,0.1711,0.5094,ARITHMETIC,0.4121,0.4019,1.0562,0.0688,-0.0463,0.2015
0.5927,0.7641,0.0427,0.1857,GEOMETRIC,0.0000,0.0188,0.0781,0.0051,-0.0034,0.0149
1.8323,1.3279,0.0691,0.4955,GEOMETRIC,0.8207,0.8580,0.6970,0.0454,-0.0306,0.1330
0.5953,0.7083,0.1365,0.4739,GEOMETRIC,0.0028,0.0219,0.0907,0.0059,-0.0040,0.0173
1.4704,0.8128,0.0652,0.4627,ARITHMETIC,0.5041,0.5013,1.1190,0.0729,-0.0491,0.2135
1.0269,0.9068,0.1846,0.5377,ARITHMETIC,0.1791,0.1440,0.5261,0.0343,-0.0231,0.1004
0.9482,1.3415,0.1269,0.5419,GEOMETRIC,0.1367,0.1022,0.3906,0.0254,-0.0171,0.0745
1.8292,0.8154,0.0165,0.5359,GEOMETRIC,0.8162,0.8340,0.7571,0.0493,-0.0332,0.1445
0.5921,1.2226,0.0527,0.3953,GEOMETRIC,0.0039,0.0218,0.0901,0.0059,-0.0040,0.0172
1.5805,0.6080,0.0036,0.1638,GEOMETRIC,0.5798,0.5560,1.1201,0.0730,-0.0491,0.2137
1.6071,1.2881,0.0112,0.1938,ARITHMETIC,0.6138,0.6451,1.0708,0.0697,-0.0470,0.2043
1.4357,1.1824,0.0314,0.3432,GEOMETRIC,0.4449,0.4417,1.0908,0.0710,-0.0478,0.2081
1.1279,1.3947,0.0410,0.1119,GEOMETRIC,0.1525,0.1700,0.6037,0.0393,-0.0265,0.1152
1.7538,0.8881,0.1014,0.5369,ARITHMETIC,0.7897,0.8066,0.8204,0.0534,-0.0360,0.1565
1.9607,0.5364,0.0193,0.0965,GEOMETRIC,0.9604,0.8956,0.5937,0.0387,-0.0260,0.1133
1.4372,0.9521,0.0880,0.4471,GEOMETRIC,0.4589,0.4515,1.0974,0.0715,-0.0481,0.2094
0.6264,0.7547,0.1705,0.5110,GEOMETRIC,0.0079,0.0261,0.1075,0.0070,-0.0047,0.0205
0.9410,0.6022,0.1618,0.3372,GEOMETRIC,0.0513,0.0855,0.3324,0.0217,-0.0146,0.0634
1.7858,1.0670,0.1415,0.1638,GEOMETRIC,0.7939,0.8083,0.8166,0.0532,-0.0358,0.1558
1.9769,1.0720,0.1031,0.1593,GEOMETRIC,0.9728,0.9280,0.4952,0.0323,-0.0217,0.0945
0.6843,1.0888,0.0224,0.1794,ARITHMETIC,0.0000,0.0312,0.1281,0.0083,-0.0056,0.0244
1.2162,1.1616,0.0041,0.3661,GEOMETRIC,0.2440,0.2297,0.7611,0.0496,-0.0334,0.1452
1.8965,0.6623,0.1102,0.3312,GEOMETRIC,0.8928,0.8795,0.6392,0.0416,-0.0280,0.1220
1.9532,0.8203,0.0057,0.4727,ARITHMETIC,0.9719,0.9221,0.5139,0.0335,-0.0225,0.0981
0.5770,1.3739,0.1173,0.2909,ARITHMETIC,0.0018,0.0235,0.0970,0.0063,-0.0043,0.0185
1.6068,1.1889,0.0815,0.3295,GEOMETRIC,0.6156,0.6413,1.0742,0.0700,-0.0471,0.2050
1.2737,1.0413,0.1821,0.4114,ARITHMETIC,0.3564,0.3245,0.9527,0.0620,-0.0418,0.1818
1.0334,0.9211,0.0296,0.3335,GEOMETRIC,0.0999,0.1166,0.4387,0.0286,-0.0192,0.0837
0.7623,0.9832,0.1059,0.2293,GEOMETRIC,0.0039,0.0418,0.1698,0.0111,-0.0074,0.0324
1.3358,1.3495,0.1627,0.3316,ARITHMETIC,0.4113,0.3912,1.0447,0.0680,-0.0458,0.1994
1.2498,1.0687,0.1503,0.3195,ARITHMETIC,0.3169,0.2923,0.8957,0.0583,-0.0393,0.1709
0.8034,0.8572,0.0349,0.4409,GEOMETRIC,0.0281,0.0483,0.1950,0.0127,-0.0086,0.0372
0.6682,0.8266,0.1424,0.1234,GEOMETRIC,0.0000,0.0277,0.1139,0.0074,-0.0050,0.0217
0.7850,0.8910,0.0638,0.1393,GEOMETRIC,0.0001,0.0426,0.1729,0.0113,-0.0076,0.0330
1.5127,0.9790,0.0918,0.2951,ARITHMETIC,0.5392,0.5503,1.1211,0.0730,-0.0492,0.2139
0.8956,0.9425,0.1190,0.4368,GEOMETRIC,0.0667,0.0754,0.2962,0.0193,-0.0130,0.0565
1.9963,1.2674,0.1353,0.2715,GEOMETRIC,0.9819,0.9473,0.4330,0.0282,-0.0190,0.0826
1.0978,0.6895,0.0879,0.1221,GEOMETRIC,0.1243,0.1412,0.5176,0.0337,-0.0227,0.0988
0.5098,1.1374,0.1270,0.1156,ARITHMETIC,0.0000,0.0163,0.0680,0.0044,-0.0030,0.0130
0.9694,1.1878,0.1190,0.4141,ARITHMETIC,0.1234,0.1127,0.4260,0.0277,-0.0187,0.0813
0.8018,1.0872,0.1952,0.2981,ARITHMETIC,0.0299,0.0593,0.2366,0.0154,-0.0104,0.0451
0.9846,0.6923,0.1232,0.3148,ARITHMETIC,0.0755,0.1076,0.4089,0.0266,-0.0179,0.0780
0.7764,0.6067,0.1986,0.4848,GEOMETRIC,0.0233,0.0476,0.1921,0.0125,-0.0084,0.0367
1.0048,1.3076,0.1413,0.4753,ARITHMETIC,0.1751,0.1353,0.4992,0.0325,-0.0219,0.0953
1.9856,1.0273,0.0979,0.3051,ARITHMETIC,0.9940,0.9450,0.4403,0.0287,-0.0193,0.0840
0.5858,0.9001,0.1633,0.4808,GEOMETRIC,0.0057,0.0223,0.0924,0.0060,-0.0041,0.0176
1.2077,0.7112,0.1999,0.1600,ARITHMETIC,0.2594,0.2428,0.7917,0.0516,-0.0347,0.1511
0.9027,1.0474,0.1982,0.4447,GEOMETRIC,0.0872,0.0839,0.3268,0.0213,-0.0143,0.0624
0.6237,1.3957,0.1480,0.0522,ARITHMETIC,0.0000,0.0274,0.1130,0.0074,-0.0050,0.0216
1.2579,0.5512,0.1564,0.5445,ARITHMETIC,0.3166,0.2934,0.8978,0.0585,-0.0394,0.1713
