spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price,delta_mc,delta_mc_l_ci,delta_mc_r_ci,theta_mc,theta_mc_l_ci,theta_mc_r_ci,rho_mc,rho_mc_l_ci,rho_mc_r_ci,vega_mc,vega_mc_l_ci,vega_mc_r_ci
0.9317,1.1047,0.0886,0.2364,ARITHMETIC,0.0480,1.6256,0.4563,0.3597,0.5529,-0.0387,-0.0421,0.1194,0.1916,-0.8119,1.1952,0.2183,-0.1600,0.5965
0.9711,1.3943,0.0532,0.1891,ARITHMETIC,0.0561,1.6364,0.5403,0.4524,0.6282,-0.0286,-0.0326,0.0897,0.2958,-1.3027,1.8944,0.2558,-0.1966,0.7082
0.8641,0.5139,0.1477,0.4491,ARITHMETIC,0.0369,1.6217,0.3118,0.1999,0.4238,-0.0712,-0.1143,0.2567,0.0565,-0.5864,0.6994,0.1261,-0.0869,0.3391
1.2540,0.7364,0.1729,0.3078,ARITHMETIC,0.3045,1.6956,0.9194,0.8712,0.9675,-0.0565,-0.0266,0.1396,0.2136,-0.1381,0.5653,0.0312,-0.1690,0.2315
0.8090,0.8100,0.1142,0.3076,GEOMETRIC,0.0143,1.4310,0.1585,0.0975,0.2196,-0.0233,-0.0360,0.0827,0.0418,-0.3771,0.4607,0.0920,-0.0649,0.2490
1.0083,0.7847,0.1511,0.3968,GEOMETRIC,0.1103,1.4898,0.6141,0.4780,0.7502,-0.0677,-0.1077,0.2430,0.1586,-0.7491,1.0663,0.1476,-0.2005,0.4956
0.9515,0.7643,0.1508,0.4454,ARITHMETIC,0.0941,1.6631,0.5294,0.3592,0.6997,-0.0796,-0.1316,0.2907,0.1357,-0.9312,1.2026,0.1818,-0.1817,0.5454
0.9501,1.1763,0.0430,0.4346,ARITHMETIC,0.1042,1.6524,0.5024,0.2839,0.7209,-0.0499,-0.1257,0.2254,0.1868,-4.5987,4.9723,0.2336,-0.2431,0.7102
0.8650,0.9925,0.0288,0.3954,GEOMETRIC,0.0418,1.4351,0.3053,0.1734,0.4371,-0.0333,-0.0800,0.1465,0.0951,-3.7937,3.9839,0.1535,-0.1319,0.4389
0.7554,1.0578,0.1755,0.2494,ARITHMETIC,0.0105,1.6353,0.1207,0.0696,0.1718,-0.0178,-0.0177,0.0534,0.0434,-0.1696,0.2565,0.0901,-0.0613,0.2414
1.1067,0.8895,0.1648,0.3008,GEOMETRIC,0.1771,1.5044,0.8040,0.7292,0.8787,-0.0585,-0.0360,0.1530,0.2411,-0.2663,0.7486,0.0830,-0.1982,0.3642
0.9982,0.8317,0.1629,0.2583,ARITHMETIC,0.0905,1.6477,0.6704,0.5870,0.7538,-0.0682,-0.0331,0.1695,0.2134,-0.3018,0.7286,0.1712,-0.1564,0.4987
0.7970,0.9236,0.0973,0.1909,GEOMETRIC,0.0030,1.4131,0.0473,0.0282,0.0664,-0.0056,-0.0100,0.0213,0.0145,-0.1329,0.1619,0.0396,-0.0365,0.1158
1.4098,1.3742,0.1202,0.1618,GEOMETRIC,0.4481,1.5550,0.9179,0.9025,0.9334,-0.0213,0.0054,0.0371,0.2751,0.0947,0.4554,-0.0475,-0.1829,0.0879
1.1578,0.9578,0.0123,0.1410,GEOMETRIC,0.1638,1.4251,0.9699,0.9542,0.9855,-0.0060,-0.0138,0.0258,0.3809,-1.1516,1.9134,0.0152,-0.1205,0.1510
1.4486,1.0236,0.0856,0.1277,ARITHMETIC,0.4720,1.6818,0.9575,0.9481,0.9668,-0.0199,0.0067,0.0332,0.2381,0.0807,0.3955,0.0005,-0.1061,0.1070
1.9397,0.6757,0.0068,0.1439,ARITHMETIC,0.9412,1.6958,0.9977,0.9897,1.0058,-0.0002,-0.0228,0.0233,0.0193,-2.2596,2.2981,0.0005,-0.1083,0.1092
1.8064,1.4782,0.0905,0.0914,GEOMETRIC,0.8138,1.6033,0.9343,0.9290,0.9397,-0.0016,-0.0050,0.0082,0.0452,-0.0616,0.1520,-0.0378,-0.1447,0.0690
0.9324,1.2402,0.0528,0.5207,GEOMETRIC,0.1083,1.5011,0.4677,0.2166,0.7187,-0.0440,-0.1435,0.2316,0.1508,-4.2414,4.5431,0.1796,-0.2686,0.6278
1.4469,0.9881,0.0594,0.1919,ARITHMETIC,0.4649,1.6777,0.9712,0.9505,0.9918,-0.0148,-0.0155,0.0450,0.2441,-0.2562,0.7444,0.0011,-0.1554,0.1575
0.5255,0.9587,0.1296,0.2390,ARITHMETIC,0.0000,1.5647,0.0001,-0.0008,0.0009,-0.0000,-0.0004,0.0005,0.0000,-0.0031,0.0032,0.0001,-0.0017,0.0019
1.3682,0.5417,0.1711,0.5094,ARITHMETIC,0.4121,1.7336,0.9224,0.8252,1.0195,-0.0613,-0.1860,0.3087,0.1314,-0.6472,0.9101,0.0427,-0.2220,0.3074
0.5927,0.7641,0.0427,0.1857,GEOMETRIC,0.0000,1.3472,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8323,1.3279,0.0691,0.4955,GEOMETRIC,0.8207,1.6587,0.9123,0.7528,1.0719,0.0211,-0.2420,0.1999,0.0520,-4.1706,4.2745,-0.1274,-0.7231,0.4683
0.5953,0.7083,0.1365,0.4739,GEOMETRIC,0.0028,1.4280,0.0234,-0.0081,0.0550,-0.0057,-0.0203,0.0316,0.0039,-0.1294,0.1373,0.0148,-0.0243,0.0540
1.4704,0.8128,0.0652,0.4627,ARITHMETIC,0.5041,1.7192,0.9458,0.8296,1.0621,-0.0279,-0.1839,0.2396,0.1750,-2.4496,2.7996,0.0493,-0.3249,0.4234
1.0269,0.9068,0.1846,0.5377,ARITHMETIC,0.1791,1.7260,0.6400,0.4031,0.8769,-0.0880,-0.1805,0.3565,0.1665,-1.1475,1.4806,0.1833,-0.2714,0.6379
0.9482,1.3415,0.1269,0.5419,GEOMETRIC,0.1367,1.5510,0.5130,0.2387,0.7873,-0.0481,-0.1449,0.2412,0.1604,-1.8742,2.1950,0.1638,-0.3157,0.6434
1.8292,0.8154,0.0165,0.5359,GEOMETRIC,0.8162,1.5881,0.9631,0.8456,1.0805,0.0307,-0.2953,0.2340,0.0672,-12.9357,13.0701,-0.0976,-0.5026,0.3074
0.5921,1.2226,0.0527,0.3953,GEOMETRIC,0.0039,1.4270,0.0296,-0.0111,0.0702,-0.0041,-0.0152,0.0234,0.0084,-0.4355,0.4523,0.0235,-0.0368,0.0838
1.5805,0.6080,0.0036,0.1638,GEOMETRIC,0.5798,1.4561,0.9976,0.9900,1.0051,0.0027,-0.0225,0.0170,0.1274,-3.1863,3.4410,-0.0261,-0.0996,0.0475
1.6071,1.2881,0.0112,0.1938,ARITHMETIC,0.6138,1.7141,0.9928,0.9651,1.0206,-0.0022,-0.0324,0.0368,0.2444,-3.7157,4.2045,0.0013,-0.2299,0.2325
