spot_strike_ratio,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.0362,0.1041,0.6275,ARITHMETIC,0.1892,0.1582,0.2202
1.7756,0.1482,0.5630,GEOMETRIC,0.7538,0.7293,0.7783
1.9838,0.0753,0.7349,ARITHMETIC,1.0197,0.9586,1.0808
0.9668,0.1886,0.5987,ARITHMETIC,0.1567,0.1247,0.1887
1.1008,0.0004,0.9310,GEOMETRIC,0.2722,0.2196,0.3247
0.8181,0.1285,0.9473,GEOMETRIC,0.0910,0.0584,0.1236
0.8150,0.0930,0.2271,GEOMETRIC,0.0043,0.0018,0.0068
0.9452,0.1770,0.3644,ARITHMETIC,0.0798,0.0668,0.0929
0.6154,0.1745,0.3504,ARITHMETIC,0.0049,0.0009,0.0088
1.9672,0.1671,0.8070,GEOMETRIC,0.8629,0.8176,0.9082
1.5020,0.0031,0.5892,GEOMETRIC,0.4802,0.4494,0.5110
0.6873,0.1659,0.2193,ARITHMETIC,0.0013,0.0000,0.0027
1.2144,0.0453,0.4089,GEOMETRIC,0.2414,0.2241,0.2587
1.7619,0.0310,0.8463,ARITHMETIC,0.8337,0.6828,0.9846
0.5745,0.1512,0.9009,GEOMETRIC,0.0110,0.0025,0.0195
1.1609,0.0255,0.7083,GEOMETRIC,0.2604,0.2186,0.3021
1.2932,0.0593,0.1660,GEOMETRIC,0.3091,0.3078,0.3103
1.0777,0.0148,0.4504,GEOMETRIC,0.1237,0.1047,0.1428
1.7589,0.0077,0.9912,GEOMETRIC,0.7310,0.6245,0.8375
0.9490,0.0141,0.8433,GEOMETRIC,0.1443,0.0894,0.1993
1.3448,0.1217,0.8443,ARITHMETIC,0.3843,0.3445,0.4241
0.6883,0.1969,0.7582,GEOMETRIC,0.0411,0.0183,0.0640
1.6509,0.1904,0.4102,GEOMETRIC,0.6550,0.6402,0.6698
1.5166,0.1283,0.6526,ARITHMETIC,0.6090,0.5516,0.6663
0.9395,0.1058,0.9968,GEOMETRIC,0.1462,0.1031,0.1893
1.5529,0.1506,0.7780,ARITHMETIC,0.5975,0.5490,0.6460
1.1558,0.1080,0.7775,GEOMETRIC,0.2520,0.2122,0.2918
1.1832,0.1925,0.2565,GEOMETRIC,0.2454,0.2407,0.2500
1.5203,0.1969,0.8959,GEOMETRIC,0.5080,0.4578,0.5583
1.0730,0.1829,0.3280,GEOMETRIC,0.1551,0.1452,0.1650
1.4767,0.0857,0.5890,ARITHMETIC,0.5224,0.4846,0.5601
1.5414,0.1225,0.2550,ARITHMETIC,0.5654,0.5612,0.5697
0.6712,0.1095,0.1206,ARITHMETIC,0.0000,0.0000,0.0000
