spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.7006,1.0548,0.0433,0.3804,ARITHMETIC,0.7210,0.7011,0.7409
1.1763,0.8513,0.1691,0.2460,ARITHMETIC,0.2360,0.2296,0.2424
0.9228,1.0913,0.1271,0.4006,ARITHMETIC,0.0907,0.0699,0.1114
0.9480,1.2183,0.1516,0.2597,ARITHMETIC,0.0815,0.0686,0.0945
1.2529,0.9819,0.0072,0.1164,ARITHMETIC,0.2563,0.2551,0.2576
1.6378,0.8464,0.1611,0.3825,ARITHMETIC,0.6686,0.6539,0.6834
1.7836,1.0852,0.0340,0.3638,GEOMETRIC,0.7765,0.7608,0.7922
0.7630,1.0053,0.0811,0.3367,ARITHMETIC,0.0167,0.0086,0.0249
1.1791,1.4719,0.1577,0.3634,ARITHMETIC,0.2904,0.2674,0.3135
1.4761,0.9926,0.0369,0.4187,ARITHMETIC,0.5062,0.4829,0.5294
1.9963,0.8529,0.0127,0.4257,GEOMETRIC,0.9823,0.9639,1.0007
1.8044,1.1489,0.1231,0.1131,GEOMETRIC,0.8119,0.8104,0.8134
0.7595,0.9179,0.1981,0.2887,GEOMETRIC,0.0110,0.0057,0.0162
1.4270,1.1887,0.1574,0.4507,GEOMETRIC,0.4692,0.4443,0.4940
1.7939,1.3249,0.1807,0.1300,ARITHMETIC,0.8101,0.8073,0.8129
1.3002,1.3544,0.1113,0.2220,ARITHMETIC,0.3525,0.3453,0.3597
0.5373,0.9397,0.0573,0.4970,GEOMETRIC,0.0026,0.0000,0.0051
1.8850,1.3917,0.0796,0.4713,GEOMETRIC,0.8693,0.8327,0.9058
1.3016,0.6745,0.0033,0.1056,GEOMETRIC,0.3019,0.3013,0.3025
1.6428,0.5596,0.1221,0.3656,GEOMETRIC,0.6482,0.6411,0.6553
1.9056,1.4325,0.1850,0.3961,GEOMETRIC,0.8853,0.8626,0.9081
1.0578,0.5539,0.0797,0.2173,ARITHMETIC,0.0922,0.0860,0.0983
0.9701,0.8000,0.0193,0.4652,ARITHMETIC,0.0941,0.0718,0.1165
0.7850,1.3348,0.0247,0.0743,ARITHMETIC,0.0000,0.0000,0.0000
1.9950,0.6349,0.0902,0.2329,ARITHMETIC,0.9980,0.9929,1.0030
1.3627,0.9259,0.1106,0.4303,ARITHMETIC,0.4149,0.3929,0.4370
1.7467,0.9434,0.0614,0.2961,GEOMETRIC,0.7466,0.7382,0.7550
0.5272,1.0145,0.1478,0.4749,ARITHMETIC,0.0054,0.0008,0.0101
0.7688,1.3721,0.0408,0.5423,ARITHMETIC,0.0700,0.0426,0.0973
0.6656,1.3472,0.1567,0.2603,GEOMETRIC,0.0040,0.0011,0.0070
1.5127,0.7014,0.0114,0.3261,GEOMETRIC,0.5101,0.5028,0.5175
1.2159,0.5229,0.0967,0.5080,ARITHMETIC,0.2645,0.2451,0.2838
1.4323,1.2656,0.0746,0.2960,GEOMETRIC,0.4529,0.4414,0.4643
1.9274,1.4944,0.1821,0.4002,ARITHMETIC,0.9478,0.9155,0.9801
