spot_strike_ratio & ttm & risk_free_rate & volatility & avg_type & price_strike_ratio & left_ci & right_ci \\
1.7006 & 1.0548 & 0.0433 & 0.3804 & ARITHMETIC & 0.7222 & 0.6379 & 0.8064 \\
1.1763 & 0.8513 & 0.1691 & 0.2460 & ARITHMETIC & 0.2360 & 0.2052 & 0.2669 \\
0.9228 & 1.0913 & 0.1271 & 0.4006 & ARITHMETIC & 0.0911 & 0.0571 & 0.1250 \\
0.9480 & 1.2183 & 0.1516 & 0.2597 & ARITHMETIC & 0.0817 & 0.0576 & 0.1058 \\
1.2529 & 0.9819 & 0.0072 & 0.1164 & ARITHMETIC & 0.2563 & 0.2383 & 0.2744 \\
1.6378 & 0.8464 & 0.1611 & 0.3825 & ARITHMETIC & 0.6691 & 0.5985 & 0.7397 \\
1.7836 & 1.0852 & 0.0340 & 0.3638 & GEOMETRIC & 0.7767 & 0.6939 & 0.8595 \\
0.7630 & 1.0053 & 0.0811 & 0.3367 & ARITHMETIC & 0.0169 & 0.0054 & 0.0285 \\
1.1791 & 1.4719 & 0.1577 & 0.3634 & ARITHMETIC & 0.2908 & 0.2326 & 0.3489 \\
1.4761 & 0.9926 & 0.0369 & 0.4187 & ARITHMETIC & 0.5063 & 0.4292 & 0.5834 \\
1.9963 & 0.8529 & 0.0127 & 0.4257 & GEOMETRIC & 0.9822 & 0.8843 & 1.0800 \\
1.8044 & 1.1489 & 0.1231 & 0.1131 & GEOMETRIC & 0.8119 & 0.7865 & 0.8374 \\
0.7595 & 0.9179 & 0.1981 & 0.2887 & GEOMETRIC & 0.0111 & 0.0038 & 0.0184 \\
1.4270 & 1.1887 & 0.1574 & 0.4507 & GEOMETRIC & 0.4683 & 0.3913 & 0.5453 \\
1.7939 & 1.3249 & 0.1807 & 0.1300 & ARITHMETIC & 0.8101 & 0.7792 & 0.8410 \\
1.3002 & 1.3544 & 0.1113 & 0.2220 & ARITHMETIC & 0.3531 & 0.3135 & 0.3928 \\
0.5373 & 0.9397 & 0.0573 & 0.4970 & GEOMETRIC & 0.0014 & 0.0000 & 0.0037 \\
1.8850 & 1.3917 & 0.0796 & 0.4713 & GEOMETRIC & 0.8688 & 0.7453 & 0.9923 \\
1.3016 & 0.6745 & 0.0033 & 0.1056 & GEOMETRIC & 0.3019 & 0.2878 & 0.3160 \\
1.6428 & 0.5596 & 0.1221 & 0.3656 & GEOMETRIC & 0.6481 & 0.5938 & 0.7024 \\
1.9056 & 1.4325 & 0.1850 & 0.3961 & GEOMETRIC & 0.8852 & 0.7858 & 0.9846 \\
1.0578 & 0.5539 & 0.0797 & 0.2173 & ARITHMETIC & 0.0923 & 0.0746 & 0.1100 \\
0.9701 & 0.8000 & 0.0193 & 0.4652 & ARITHMETIC & 0.0943 & 0.0581 & 0.1305 \\
0.7850 & 1.3348 & 0.0247 & 0.0743 & ARITHMETIC & 0.0000 & 0.0000 & 0.0000 \\
