spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
1.2708,1.0000,0.1000,0.2000,ARITHMETIC,0.3074,0.3034
1.4948,1.0000,0.1000,0.2000,ARITHMETIC,0.5206,0.5266
1.2192,1.0000,0.1000,0.2000,ARITHMETIC,0.2593,0.2540
1.4150,1.0000,0.1000,0.2000,ARITHMETIC,0.4445,0.4462
1.4541,1.0000,0.1000,0.2000,ARITHMETIC,0.4817,0.4855
1.1888,1.0000,0.1000,0.2000,ARITHMETIC,0.2312,0.2258
0.5257,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0008
1.4833,1.0000,0.1000,0.2000,ARITHMETIC,0.5096,0.5150
1.0939,1.0000,0.1000,0.2000,ARITHMETIC,0.1470,0.1442
1.2592,1.0000,0.1000,0.2000,ARITHMETIC,0.2966,0.2922
1.1942,1.0000,0.1000,0.2000,ARITHMETIC,0.2361,0.2307
1.0627,1.0000,0.1000,0.2000,ARITHMETIC,0.1213,0.1206
1.2214,1.0000,0.1000,0.2000,ARITHMETIC,0.2614,0.2561
0.8494,1.0000,0.1000,0.2000,ARITHMETIC,0.0129,0.0225
0.8938,1.0000,0.1000,0.2000,ARITHMETIC,0.0236,0.0338
1.3257,1.0000,0.1000,0.2000,ARITHMETIC,0.3594,0.3572
0.6009,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0018
1.1219,1.0000,0.1000,0.2000,ARITHMETIC,0.1712,0.1669
0.5687,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0013
0.8439,1.0000,0.1000,0.2000,ARITHMETIC,0.0119,0.0214
0.5007,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0006
0.9517,1.0000,0.1000,0.2000,ARITHMETIC,0.0460,0.0553
1.1667,1.0000,0.1000,0.2000,ARITHMETIC,0.2110,0.2057
1.2117,1.0000,0.1000,0.2000,ARITHMETIC,0.2523,0.2470
0.5888,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0016
1.0286,1.0000,0.1000,0.2000,ARITHMETIC,0.0949,0.0972
0.5427,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0010
0.5225,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0008
0.7515,1.0000,0.1000,0.2000,ARITHMETIC,0.0022,0.0086
1.3402,1.0000,0.1000,0.2000,ARITHMETIC,0.3732,0.3716
0.5219,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0008
0.7031,1.0000,0.1000,0.2000,ARITHMETIC,0.0005,0.0053
0.5214,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0008
1.2253,1.0000,0.1000,0.2000,ARITHMETIC,0.2649,0.2598
0.6392,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0027
0.9389,1.0000,0.1000,0.2000,ARITHMETIC,0.0402,0.0498
0.6843,1.0000,0.1000,0.2000,ARITHMETIC,0.0002,0.0043
0.9902,1.0000,0.1000,0.2000,ARITHMETIC,0.0683,0.0743
1.3962,1.0000,0.1000,0.2000,ARITHMETIC,0.4266,0.4274
0.5696,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0013
1.1110,1.0000,0.1000,0.2000,ARITHMETIC,0.1617,0.1579
0.9793,1.0000,0.1000,0.2000,ARITHMETIC,0.0615,0.0685
0.8453,1.0000,0.1000,0.2000,ARITHMETIC,0.0122,0.0217
0.9122,1.0000,0.1000,0.2000,ARITHMETIC,0.0295,0.0398
0.5309,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0009
1.3352,1.0000,0.1000,0.2000,ARITHMETIC,0.3685,0.3666
