spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
1.0000,1.0356,0.1000,0.2000,ARITHMETIC,0.0763,0.0763
1.0000,1.4311,0.1000,0.2000,ARITHMETIC,0.0945,0.0945
1.0000,0.5921,0.1000,0.2000,ARITHMETIC,0.0531,0.0531
1.0000,0.9866,0.1000,0.2000,ARITHMETIC,0.0739,0.0739
1.0000,0.6529,0.1000,0.2000,ARITHMETIC,0.0566,0.0565
1.0000,1.1661,0.1000,0.2000,ARITHMETIC,0.0825,0.0825
1.0000,1.3540,0.1000,0.2000,ARITHMETIC,0.0911,0.0912
1.0000,0.9579,0.1000,0.2000,ARITHMETIC,0.0725,0.0725
1.0000,0.9204,0.1000,0.2000,ARITHMETIC,0.0707,0.0707
1.0000,0.9287,0.1000,0.2000,ARITHMETIC,0.0711,0.0711
1.0000,1.2753,0.1000,0.2000,ARITHMETIC,0.0876,0.0876
1.0000,0.6987,0.1000,0.2000,ARITHMETIC,0.0591,0.0591
1.0000,0.8495,0.1000,0.2000,ARITHMETIC,0.0671,0.0671
1.0000,1.2039,0.1000,0.2000,ARITHMETIC,0.0843,0.0843
1.0000,1.0528,0.1000,0.2000,ARITHMETIC,0.0772,0.0771
1.0000,1.0108,0.1000,0.2000,ARITHMETIC,0.0751,0.0751
1.0000,1.1623,0.1000,0.2000,ARITHMETIC,0.0824,0.0823
1.0000,1.4099,0.1000,0.2000,ARITHMETIC,0.0936,0.0936
1.0000,1.4576,0.1000,0.2000,ARITHMETIC,0.0957,0.0956
1.0000,0.8747,0.1000,0.2000,ARITHMETIC,0.0683,0.0684
1.0000,1.3034,0.1000,0.2000,ARITHMETIC,0.0888,0.0889
1.0000,0.9539,0.1000,0.2000,ARITHMETIC,0.0723,0.0723
1.0000,0.7624,0.1000,0.2000,ARITHMETIC,0.0625,0.0626
1.0000,1.1213,0.1000,0.2000,ARITHMETIC,0.0804,0.0804
1.0000,1.4748,0.1000,0.2000,ARITHMETIC,0.0964,0.0964
1.0000,0.6298,0.1000,0.2000,ARITHMETIC,0.0553,0.0552
1.0000,1.4333,0.1000,0.2000,ARITHMETIC,0.0946,0.0946
1.0000,0.6580,0.1000,0.2000,ARITHMETIC,0.0569,0.0568
1.0000,1.2808,0.1000,0.2000,ARITHMETIC,0.0878,0.0879
1.0000,0.7974,0.1000,0.2000,ARITHMETIC,0.0644,0.0644
1.0000,0.9899,0.1000,0.2000,ARITHMETIC,0.0741,0.0741
1.0000,0.6812,0.1000,0.2000,ARITHMETIC,0.0581,0.0581
1.0000,0.5755,0.1000,0.2000,ARITHMETIC,0.0522,0.0521
1.0000,1.4012,0.1000,0.2000,ARITHMETIC,0.0932,0.0932
1.0000,0.9913,0.1000,0.2000,ARITHMETIC,0.0742,0.0742
1.0000,1.1165,0.1000,0.2000,ARITHMETIC,0.0802,0.0802
1.0000,1.4080,0.1000,0.2000,ARITHMETIC,0.0935,0.0935
1.0000,0.5277,0.1000,0.2000,ARITHMETIC,0.0494,0.0495
