spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
1.0000,1.0000,0.1000,0.3508,ARITHMETIC,0.1094,0.1095
1.0000,1.0000,0.1000,0.4538,ARITHMETIC,0.1346,0.1353
1.0000,1.0000,0.1000,0.4303,ARITHMETIC,0.1287,0.1295
1.0000,1.0000,0.1000,0.4266,ARITHMETIC,0.1278,0.1285
1.0000,1.0000,0.1000,0.3935,ARITHMETIC,0.1196,0.1202
1.0000,1.0000,0.1000,0.3058,ARITHMETIC,0.0988,0.0984
1.0000,1.0000,0.1000,0.3082,ARITHMETIC,0.0994,0.0989
1.0000,1.0000,0.1000,0.3283,ARITHMETIC,0.1041,0.1039
1.0000,1.0000,0.1000,0.2942,ARITHMETIC,0.0961,0.0955
1.0000,1.0000,0.1000,0.3680,ARITHMETIC,0.1135,0.1138
1.0000,1.0000,0.1000,0.5434,ARITHMETIC,0.1575,0.1562
1.0000,1.0000,0.1000,0.3683,ARITHMETIC,0.1136,0.1139
1.0000,1.0000,0.1000,0.1040,ARITHMETIC,0.0553,0.0559
1.0000,1.0000,0.1000,0.1909,ARITHMETIC,0.0726,0.0723
1.0000,1.0000,0.1000,0.4824,ARITHMETIC,0.1418,0.1422
1.0000,1.0000,0.1000,0.1252,ARITHMETIC,0.0592,0.0596
1.0000,1.0000,0.1000,0.2058,ARITHMETIC,0.0759,0.0754
1.0000,1.0000,0.1000,0.0698,ARITHMETIC,0.0500,0.0505
1.0000,1.0000,0.1000,0.0744,ARITHMETIC,0.0506,0.0512
1.0000,1.0000,0.1000,0.1580,ARITHMETIC,0.0657,0.0657
1.0000,1.0000,0.1000,0.2275,ARITHMETIC,0.0808,0.0801
1.0000,1.0000,0.1000,0.1839,ARITHMETIC,0.0711,0.0708
1.0000,1.0000,0.1000,0.5416,ARITHMETIC,0.1571,0.1558
1.0000,1.0000,0.1000,0.4542,ARITHMETIC,0.1347,0.1354
1.0000,1.0000,0.1000,0.3580,ARITHMETIC,0.1111,0.1113
1.0000,1.0000,0.1000,0.0721,ARITHMETIC,0.0503,0.0508
1.0000,1.0000,0.1000,0.1596,ARITHMETIC,0.0660,0.0660
