spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
1.0413,1.0000,0.1000,0.2000,ARITHMETIC,0.1044,0.0981
1.3427,1.0000,0.1000,0.2000,ARITHMETIC,0.3755,0.3875
0.6315,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0051
0.5878,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0037
0.5062,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0020
0.7244,1.0000,0.1000,0.2000,ARITHMETIC,0.0011,0.0103
0.8639,1.0000,0.1000,0.2000,ARITHMETIC,0.0159,0.0289
0.9951,1.0000,0.1000,0.2000,ARITHMETIC,0.0714,0.0726
0.5134,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0021
0.7133,1.0000,0.1000,0.2000,ARITHMETIC,0.0008,0.0095
0.6061,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0042
1.1315,1.0000,0.1000,0.2000,ARITHMETIC,0.1796,0.1673
0.7217,1.0000,0.1000,0.2000,ARITHMETIC,0.0010,0.0101
1.2850,1.0000,0.1000,0.2000,ARITHMETIC,0.3208,0.3280
1.3510,1.0000,0.1000,0.2000,ARITHMETIC,0.3835,0.3954
0.8256,1.0000,0.1000,0.2000,ARITHMETIC,0.0090,0.0219
0.8205,1.0000,0.1000,0.2000,ARITHMETIC,0.0084,0.0211
1.3142,1.0000,0.1000,0.2000,ARITHMETIC,0.3485,0.3589
0.7127,1.0000,0.1000,0.2000,ARITHMETIC,0.0007,0.0094
0.8970,1.0000,0.1000,0.2000,ARITHMETIC,0.0246,0.0367
1.0152,1.0000,0.1000,0.2000,ARITHMETIC,0.0852,0.0829
1.2854,1.0000,0.1000,0.2000,ARITHMETIC,0.3212,0.3285
0.5018,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0019
1.2271,1.0000,0.1000,0.2000,ARITHMETIC,0.2666,0.2646
1.4206,1.0000,0.1000,0.2000,ARITHMETIC,0.4499,0.4541
0.8748,1.0000,0.1000,0.2000,ARITHMETIC,0.0184,0.0313
0.5665,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0031
0.5361,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0025
0.7004,1.0000,0.1000,0.2000,ARITHMETIC,0.0004,0.0086
1.1057,1.0000,0.1000,0.2000,ARITHMETIC,0.1571,0.1449
0.7160,1.0000,0.1000,0.2000,ARITHMETIC,0.0008,0.0097
0.5128,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0021
