spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1,0.9161,0.1000,0.2000,ARITHMETIC,0.0704,0.0622,0.0787
1,1.2312,0.1000,0.2000,ARITHMETIC,0.0855,0.0759,0.0951
1,1.2694,0.1000,0.2000,ARITHMETIC,0.0873,0.0775,0.0970
1,0.7399,0.1000,0.2000,ARITHMETIC,0.0613,0.0539,0.0687
1,0.5283,0.1000,0.2000,ARITHMETIC,0.0494,0.0432,0.0557
1,0.9271,0.1000,0.2000,ARITHMETIC,0.0710,0.0627,0.0793
1,1.0161,0.1000,0.2000,ARITHMETIC,0.0754,0.0667,0.0841
1,0.9157,0.1000,0.2000,ARITHMETIC,0.0704,0.0622,0.0787
1,1.3155,0.1000,0.2000,ARITHMETIC,0.0894,0.0794,0.0993
1,0.7446,0.1000,0.2000,ARITHMETIC,0.0616,0.0541,0.0690
1,1.4378,0.1000,0.2000,ARITHMETIC,0.0948,0.0844,0.1052
1,0.7964,0.1000,0.2000,ARITHMETIC,0.0643,0.0566,0.0720
1,1.2961,0.1000,0.2000,ARITHMETIC,0.0885,0.0786,0.0983
1,0.7228,0.1000,0.2000,ARITHMETIC,0.0604,0.0531,0.0677
1,1.0305,0.1000,0.2000,ARITHMETIC,0.0761,0.0673,0.0849
1,0.7166,0.1000,0.2000,ARITHMETIC,0.0601,0.0528,0.0674
1,0.5644,0.1000,0.2000,ARITHMETIC,0.0516,0.0451,0.0580
1,0.7007,0.1000,0.2000,ARITHMETIC,0.0592,0.0520,0.0664
1,1.3860,0.1000,0.2000,ARITHMETIC,0.0925,0.0823,0.1027
1,0.6512,0.1000,0.2000,ARITHMETIC,0.0565,0.0495,0.0634
1,0.8315,0.1000,0.2000,ARITHMETIC,0.0661,0.0583,0.0740
1,0.8495,0.1000,0.2000,ARITHMETIC,0.0671,0.0591,0.0750
1,0.7751,0.1000,0.2000,ARITHMETIC,0.0632,0.0556,0.0708
1,1.0273,0.1000,0.2000,ARITHMETIC,0.0759,0.0672,0.0847
1,0.7163,0.1000,0.2000,ARITHMETIC,0.0600,0.0528,0.0673
1,1.1329,0.1000,0.2000,ARITHMETIC,0.0810,0.0718,0.0902
1,0.7048,0.1000,0.2000,ARITHMETIC,0.0594,0.0522,0.0667
1,1.0515,0.1000,0.2000,ARITHMETIC,0.0771,0.0682,0.0860
1,1.3753,0.1000,0.2000,ARITHMETIC,0.0920,0.0819,0.1022
1,0.8557,0.1000,0.2000,ARITHMETIC,0.0674,0.0594,0.0754
1,0.6836,0.1000,0.2000,ARITHMETIC,0.0583,0.0511,0.0654
1,0.5305,0.1000,0.2000,ARITHMETIC,0.0496,0.0433,0.0558
1,0.6384,0.1000,0.2000,ARITHMETIC,0.0558,0.0489,0.0626
1,1.2777,0.1000,0.2000,ARITHMETIC,0.0877,0.0779,0.0974
1,0.8732,0.1000,0.2000,ARITHMETIC,0.0683,0.0602,0.0763
1,0.5343,0.1000,0.2000,ARITHMETIC,0.0498,0.0435,0.0561
1,0.7287,0.1000,0.2000,ARITHMETIC,0.0607,0.0534,0.0681
1,0.6448,0.1000,0.2000,ARITHMETIC,0.0561,0.0492,0.0630
1,1.1487,0.1000,0.2000,ARITHMETIC,0.0817,0.0725,0.0910
1,0.5129,0.1000,0.2000,ARITHMETIC,0.0485,0.0424,0.0547
1,1.4978,0.1000,0.2000,ARITHMETIC,0.0974,0.0868,0.1080
1,0.8807,0.1000,0.2000,ARITHMETIC,0.0686,0.0605,0.0768
1,0.9278,0.1000,0.2000,ARITHMETIC,0.0710,0.0627,0.0793
1,1.2377,0.1000,0.2000,ARITHMETIC,0.0858,0.0762,0.0955
1,1.4146,0.1000,0.2000,ARITHMETIC,0.0938,0.0835,0.1041
1,1.0600,0.1000,0.2000,ARITHMETIC,0.0775,0.0686,0.0864
1,1.2713,0.1000,0.2000,ARITHMETIC,0.0874,0.0776,0.0971
1,0.5547,0.1000,0.2000,ARITHMETIC,0.0510,0.0446,0.0574
1,1.3845,0.1000,0.2000,ARITHMETIC,0.0924,0.0823,0.1026
1,1.2799,0.1000,0.2000,ARITHMETIC,0.0878,0.0780,0.0975
1,0.5568,0.1000,0.2000,ARITHMETIC,0.0511,0.0447,0.0575
1,1.4636,0.1000,0.2000,ARITHMETIC,0.0959,0.0855,0.1064
1,0.7015,0.1000,0.2000,ARITHMETIC,0.0592,0.0520,0.0665
1,1.3293,0.1000,0.2000,ARITHMETIC,0.0900,0.0800,0.1000
1,1.1603,0.1000,0.2000,ARITHMETIC,0.0823,0.0730,0.0916
1,1.0882,0.1000,0.2000,ARITHMETIC,0.0789,0.0698,0.0879
1,0.9181,0.1000,0.2000,ARITHMETIC,0.0705,0.0623,0.0788
1,0.7875,0.1000,0.2000,ARITHMETIC,0.0638,0.0562,0.0715
1,1.2554,0.1000,0.2000,ARITHMETIC,0.0866,0.0770,0.0963
1,1.2769,0.1000,0.2000,ARITHMETIC,0.0876,0.0778,0.0974
1,1.2136,0.1000,0.2000,ARITHMETIC,0.0847,0.0752,0.0943
1,0.5030,0.1000,0.2000,ARITHMETIC,0.0479,0.0418,0.0540
1,1.0754,0.1000,0.2000,ARITHMETIC,0.0782,0.0693,0.0872
1,1.2049,0.1000,0.2000,ARITHMETIC,0.0843,0.0748,0.0938
1,0.7310,0.1000,0.2000,ARITHMETIC,0.0608,0.0535,0.0682
1,1.2126,0.1000,0.2000,ARITHMETIC,0.0847,0.0752,0.0942
1,0.9189,0.1000,0.2000,ARITHMETIC,0.0706,0.0623,0.0789
1,1.3401,0.1000,0.2000,ARITHMETIC,0.0905,0.0805,0.1005
1,0.6076,0.1000,0.2000,ARITHMETIC,0.0540,0.0473,0.0607
1,1.0184,0.1000,0.2000,ARITHMETIC,0.0755,0.0668,0.0842
1,0.9611,0.1000,0.2000,ARITHMETIC,0.0727,0.0642,0.0812
1,1.1786,0.1000,0.2000,ARITHMETIC,0.0831,0.0737,0.0925
1,1.2095,0.1000,0.2000,ARITHMETIC,0.0845,0.0750,0.0941
1,1.3987,0.1000,0.2000,ARITHMETIC,0.0931,0.0828,0.1033
1,1.2029,0.1000,0.2000,ARITHMETIC,0.0842,0.0748,0.0937
1,0.7623,0.1000,0.2000,ARITHMETIC,0.0625,0.0550,0.0700
1,1.1099,0.1000,0.2000,ARITHMETIC,0.0799,0.0708,0.0890
1,0.6762,0.1000,0.2000,ARITHMETIC,0.0579,0.0508,0.0649
1,1.0182,0.1000,0.2000,ARITHMETIC,0.0755,0.0668,0.0842
1,1.1846,0.1000,0.2000,ARITHMETIC,0.0834,0.0740,0.0928
1,1.0687,0.1000,0.2000,ARITHMETIC,0.0779,0.0690,0.0869
1,0.8513,0.1000,0.2000,ARITHMETIC,0.0671,0.0592,0.0751
1,1.2835,0.1000,0.2000,ARITHMETIC,0.0879,0.0781,0.0977
1,1.3748,0.1000,0.2000,ARITHMETIC,0.0920,0.0819,0.1021
1,1.0290,0.1000,0.2000,ARITHMETIC,0.0760,0.0672,0.0848
1,0.7291,0.1000,0.2000,ARITHMETIC,0.0607,0.0534,0.0681
1,0.6506,0.1000,0.2000,ARITHMETIC,0.0564,0.0495,0.0634
1,1.4385,0.1000,0.2000,ARITHMETIC,0.0948,0.0844,0.1052
1,1.3674,0.1000,0.2000,ARITHMETIC,0.0917,0.0816,0.1018
1,1.4509,0.1000,0.2000,ARITHMETIC,0.0954,0.0849,0.1058
1,1.4034,0.1000,0.2000,ARITHMETIC,0.0933,0.0830,0.1035
1,1.3212,0.1000,0.2000,ARITHMETIC,0.0896,0.0797,0.0996
1,0.8671,0.1000,0.2000,ARITHMETIC,0.0680,0.0599,0.0760
1,0.7148,0.1000,0.2000,ARITHMETIC,0.0600,0.0527,0.0672
1,1.0393,0.1000,0.2000,ARITHMETIC,0.0765,0.0677,0.0853
1,1.4154,0.1000,0.2000,ARITHMETIC,0.0938,0.0835,0.1041
1,1.2309,0.1000,0.2000,ARITHMETIC,0.0855,0.0759,0.0951
1,0.8773,0.1000,0.2000,ARITHMETIC,0.0685,0.0604,0.0766
1,0.8608,0.1000,0.2000,ARITHMETIC,0.0676,0.0596,0.0756
1,0.5955,0.1000,0.2000,ARITHMETIC,0.0533,0.0467,0.0600
1,0.7965,0.1000,0.2000,ARITHMETIC,0.0643,0.0566,0.0720
1,0.9376,0.1000,0.2000,ARITHMETIC,0.0715,0.0631,0.0799
