spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
1.0000,1.0000,0.0193,0.2000,ARITHMETIC,0.0540,0.0541
1.0000,1.0000,0.1769,0.2000,ARITHMETIC,0.0962,0.0962
1.0000,1.0000,0.1148,0.2000,ARITHMETIC,0.0786,0.0787
1.0000,1.0000,0.1973,0.2000,ARITHMETIC,0.1020,0.1020
1.0000,1.0000,0.0783,0.2000,ARITHMETIC,0.0689,0.0688
1.0000,1.0000,0.0097,0.2000,ARITHMETIC,0.0518,0.0519
1.0000,1.0000,0.0949,0.2000,ARITHMETIC,0.0732,0.0732
1.0000,1.0000,0.0893,0.2000,ARITHMETIC,0.0717,0.0717
1.0000,1.0000,0.1496,0.2000,ARITHMETIC,0.0885,0.0885
1.0000,1.0000,0.0385,0.2000,ARITHMETIC,0.0586,0.0587
1.0000,1.0000,0.0443,0.2000,ARITHMETIC,0.0601,0.0601
1.0000,1.0000,0.0903,0.2000,ARITHMETIC,0.0720,0.0720
1.0000,1.0000,0.1895,0.2000,ARITHMETIC,0.0998,0.0998
1.0000,1.0000,0.1710,0.2000,ARITHMETIC,0.0945,0.0945
1.0000,1.0000,0.1581,0.2000,ARITHMETIC,0.0909,0.0909
1.0000,1.0000,0.0185,0.2000,ARITHMETIC,0.0538,0.0539
1.0000,1.0000,0.0935,0.2000,ARITHMETIC,0.0729,0.0729
1.0000,1.0000,0.0869,0.2000,ARITHMETIC,0.0711,0.0711
1.0000,1.0000,0.1011,0.2000,ARITHMETIC,0.0749,0.0749
1.0000,1.0000,0.0373,0.2000,ARITHMETIC,0.0583,0.0584
1.0000,1.0000,0.1489,0.2000,ARITHMETIC,0.0883,0.0883
1.0000,1.0000,0.1517,0.2000,ARITHMETIC,0.0891,0.0891
1.0000,1.0000,0.0856,0.2000,ARITHMETIC,0.0708,0.0707
1.0000,1.0000,0.0180,0.2000,ARITHMETIC,0.0537,0.0538
1.0000,1.0000,0.0784,0.2000,ARITHMETIC,0.0689,0.0688
1.0000,1.0000,0.1434,0.2000,ARITHMETIC,0.0867,0.0867
1.0000,1.0000,0.1269,0.2000,ARITHMETIC,0.0821,0.0821
1.0000,1.0000,0.1695,0.2000,ARITHMETIC,0.0941,0.0941
1.0000,1.0000,0.1501,0.2000,ARITHMETIC,0.0886,0.0886
1.0000,1.0000,0.1404,0.2000,ARITHMETIC,0.0859,0.0859
1.0000,1.0000,0.1728,0.2000,ARITHMETIC,0.0950,0.0950
1.0000,1.0000,0.1736,0.2000,ARITHMETIC,0.0952,0.0953
1.0000,1.0000,0.1137,0.2000,ARITHMETIC,0.0783,0.0784
1.0000,1.0000,0.1140,0.2000,ARITHMETIC,0.0784,0.0785
1.0000,1.0000,0.1781,0.2000,ARITHMETIC,0.0965,0.0965
1.0000,1.0000,0.0309,0.2000,ARITHMETIC,0.0567,0.0568
1.0000,1.0000,0.1049,0.2000,ARITHMETIC,0.0759,0.0760
1.0000,1.0000,0.0849,0.2000,ARITHMETIC,0.0706,0.0705
1.0000,1.0000,0.0255,0.2000,ARITHMETIC,0.0555,0.0555
1.0000,1.0000,0.1513,0.2000,ARITHMETIC,0.0889,0.0890
1.0000,1.0000,0.1132,0.2000,ARITHMETIC,0.0782,0.0783
1.0000,1.0000,0.0170,0.2000,ARITHMETIC,0.0535,0.0535
