spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
0.9667,1.0000,0.1000,0.2000,ARITHMETIC,0.0539,0.0594
0.5555,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0028
0.7702,1.0000,0.1000,0.2000,ARITHMETIC,0.0032,0.0142
0.8775,1.0000,0.1000,0.2000,ARITHMETIC,0.0191,0.0315
0.5100,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0020
1.3573,1.0000,0.1000,0.2000,ARITHMETIC,0.3894,0.4015
1.1453,1.0000,0.1000,0.2000,ARITHMETIC,0.1919,0.1799
1.2292,1.0000,0.1000,0.2000,ARITHMETIC,0.2686,0.2671
0.8417,1.0000,0.1000,0.2000,ARITHMETIC,0.0115,0.0242
0.5322,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0023
0.6948,1.0000,0.1000,0.2000,ARITHMETIC,0.0003,0.0080
1.3577,1.0000,0.1000,0.2000,ARITHMETIC,0.3899,0.4018
0.5283,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0023
0.8620,1.0000,0.1000,0.2000,ARITHMETIC,0.0155,0.0281
0.9139,1.0000,0.1000,0.2000,ARITHMETIC,0.0301,0.0410
0.9124,1.0000,0.1000,0.2000,ARITHMETIC,0.0296,0.0405
0.6128,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0043
1.2393,1.0000,0.1000,0.2000,ARITHMETIC,0.2780,0.2782
1.4107,1.0000,0.1000,0.2000,ARITHMETIC,0.4404,0.4465
0.5494,1.0000,0.1000,0.2000,ARITHMETIC,0.0000,0.0027
0.9440,1.0000,0.1000,0.2000,ARITHMETIC,0.0424,0.0507
1.3243,1.0000,0.1000,0.2000,ARITHMETIC,0.3581,0.3695
1.4175,1.0000,0.1000,0.2000,ARITHMETIC,0.4469,0.4515
1.4533,1.0000,0.1000,0.2000,ARITHMETIC,0.4810,0.4758
1.3044,1.0000,0.1000,0.2000,ARITHMETIC,0.3392,0.3490
0.8573,1.0000,0.1000,0.2000,ARITHMETIC,0.0145,0.0272
1.3585,1.0000,0.1000,0.2000,ARITHMETIC,0.3906,0.4026
1.1592,1.0000,0.1000,0.2000,ARITHMETIC,0.2043,0.1934
1.1373,1.0000,0.1000,0.2000,ARITHMETIC,0.1847,0.1724
1.3270,1.0000,0.1000,0.2000,ARITHMETIC,0.3606,0.3722
1.1424,1.0000,0.1000,0.2000,ARITHMETIC,0.1893,0.1772
1.1796,1.0000,0.1000,0.2000,ARITHMETIC,0.2227,0.2140
1.3076,1.0000,0.1000,0.2000,ARITHMETIC,0.3422,0.3523
0.8283,1.0000,0.1000,0.2000,ARITHMETIC,0.0094,0.0219
