spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
1.0000,0.9278,0.1000,0.2000,ARITHMETIC,0.0710,0.0695
1.0000,1.1211,0.1000,0.2000,ARITHMETIC,0.0804,0.0790
1.0000,0.7880,0.1000,0.2000,ARITHMETIC,0.0639,0.0633
1.0000,0.8327,0.1000,0.2000,ARITHMETIC,0.0662,0.0652
1.0000,1.1782,0.1000,0.2000,ARITHMETIC,0.0831,0.0820
1.0000,0.7710,0.1000,0.2000,ARITHMETIC,0.0630,0.0625
1.0000,1.3542,0.1000,0.2000,ARITHMETIC,0.0911,0.0918
1.0000,1.2278,0.1000,0.2000,ARITHMETIC,0.0854,0.0847
1.0000,0.5644,0.1000,0.2000,ARITHMETIC,0.0516,0.0543
1.0000,1.2609,0.1000,0.2000,ARITHMETIC,0.0869,0.0865
1.0000,1.1300,0.1000,0.2000,ARITHMETIC,0.0808,0.0795
1.0000,1.2752,0.1000,0.2000,ARITHMETIC,0.0875,0.0873
1.0000,0.8942,0.1000,0.2000,ARITHMETIC,0.0693,0.0680
1.0000,0.9663,0.1000,0.2000,ARITHMETIC,0.0729,0.0713
1.0000,0.9975,0.1000,0.2000,ARITHMETIC,0.0745,0.0728
1.0000,1.0437,0.1000,0.2000,ARITHMETIC,0.0767,0.0751
1.0000,0.7590,0.1000,0.2000,ARITHMETIC,0.0623,0.0620
1.0000,1.1146,0.1000,0.2000,ARITHMETIC,0.0801,0.0787
1.0000,0.9748,0.1000,0.2000,ARITHMETIC,0.0734,0.0718
1.0000,1.3299,0.1000,0.2000,ARITHMETIC,0.0900,0.0904
1.0000,0.6722,0.1000,0.2000,ARITHMETIC,0.0576,0.0584
1.0000,1.3973,0.1000,0.2000,ARITHMETIC,0.0930,0.0943
1.0000,0.6669,0.1000,0.2000,ARITHMETIC,0.0574,0.0582
1.0000,0.7430,0.1000,0.2000,ARITHMETIC,0.0615,0.0613
1.0000,1.2554,0.1000,0.2000,ARITHMETIC,0.0866,0.0862
1.0000,0.7969,0.1000,0.2000,ARITHMETIC,0.0643,0.0636
1.0000,1.4886,0.1000,0.2000,ARITHMETIC,0.0970,0.0998
1.0000,1.4514,0.1000,0.2000,ARITHMETIC,0.0954,0.0975
1.0000,0.7732,0.1000,0.2000,ARITHMETIC,0.0631,0.0626
1.0000,0.7599,0.1000,0.2000,ARITHMETIC,0.0624,0.0621
1.0000,0.5255,0.1000,0.2000,ARITHMETIC,0.0493,0.0528
1.0000,1.2436,0.1000,0.2000,ARITHMETIC,0.0861,0.0856
1.0000,1.1268,0.1000,0.2000,ARITHMETIC,0.0807,0.0793
1.0000,1.2174,0.1000,0.2000,ARITHMETIC,0.0849,0.0842
1.0000,1.2825,0.1000,0.2000,ARITHMETIC,0.0879,0.0877
1.0000,1.2068,0.1000,0.2000,ARITHMETIC,0.0844,0.0836
1.0000,1.2875,0.1000,0.2000,ARITHMETIC,0.0881,0.0880
1.0000,0.8893,0.1000,0.2000,ARITHMETIC,0.0691,0.0678
1.0000,0.8503,0.1000,0.2000,ARITHMETIC,0.0671,0.0660
1.0000,0.8515,0.1000,0.2000,ARITHMETIC,0.0672,0.0660
1.0000,0.6850,0.1000,0.2000,ARITHMETIC,0.0583,0.0590
1.0000,1.2943,0.1000,0.2000,ARITHMETIC,0.0884,0.0884
1.0000,1.0268,0.1000,0.2000,ARITHMETIC,0.0759,0.0743
1.0000,0.9124,0.1000,0.2000,ARITHMETIC,0.0702,0.0688
1.0000,0.9169,0.1000,0.2000,ARITHMETIC,0.0705,0.0690
1.0000,1.1236,0.1000,0.2000,ARITHMETIC,0.0805,0.0792
1.0000,1.3380,0.1000,0.2000,ARITHMETIC,0.0904,0.0909
1.0000,1.0474,0.1000,0.2000,ARITHMETIC,0.0769,0.0753
1.0000,1.2284,0.1000,0.2000,ARITHMETIC,0.0854,0.0848
1.0000,0.6125,0.1000,0.2000,ARITHMETIC,0.0543,0.0561
1.0000,1.1688,0.1000,0.2000,ARITHMETIC,0.0827,0.0815
1.0000,0.7111,0.1000,0.2000,ARITHMETIC,0.0598,0.0600
1.0000,1.2610,0.1000,0.2000,ARITHMETIC,0.0869,0.0865
1.0000,0.9645,0.1000,0.2000,ARITHMETIC,0.0729,0.0713
1.0000,0.6067,0.1000,0.2000,ARITHMETIC,0.0540,0.0559
1.0000,1.2795,0.1000,0.2000,ARITHMETIC,0.0877,0.0876
1.0000,1.4090,0.1000,0.2000,ARITHMETIC,0.0935,0.0950
1.0000,1.0561,0.1000,0.2000,ARITHMETIC,0.0773,0.0757
1.0000,0.5796,0.1000,0.2000,ARITHMETIC,0.0524,0.0548
1.0000,1.1904,0.1000,0.2000,ARITHMETIC,0.0837,0.0827
1.0000,1.1901,0.1000,0.2000,ARITHMETIC,0.0837,0.0827
1.0000,0.6285,0.1000,0.2000,ARITHMETIC,0.0552,0.0567
1.0000,0.6612,0.1000,0.2000,ARITHMETIC,0.0570,0.0580
1.0000,0.5032,0.1000,0.2000,ARITHMETIC,0.0479,0.0520
1.0000,1.0726,0.1000,0.2000,ARITHMETIC,0.0781,0.0766
1.0000,0.6673,0.1000,0.2000,ARITHMETIC,0.0574,0.0582
1.0000,0.5955,0.1000,0.2000,ARITHMETIC,0.0533,0.0554
1.0000,0.6516,0.1000,0.2000,ARITHMETIC,0.0565,0.0576
1.0000,0.6651,0.1000,0.2000,ARITHMETIC,0.0573,0.0582
1.0000,0.8349,0.1000,0.2000,ARITHMETIC,0.0663,0.0653
1.0000,0.8363,0.1000,0.2000,ARITHMETIC,0.0664,0.0654
1.0000,0.9866,0.1000,0.2000,ARITHMETIC,0.0739,0.0723
1.0000,0.5006,0.1000,0.2000,ARITHMETIC,0.0478,0.0519
1.0000,1.2450,0.1000,0.2000,ARITHMETIC,0.0862,0.0857
1.0000,0.7710,0.1000,0.2000,ARITHMETIC,0.0630,0.0625
1.0000,1.2724,0.1000,0.2000,ARITHMETIC,0.0874,0.0872
1.0000,1.4771,0.1000,0.2000,ARITHMETIC,0.0965,0.0991
1.0000,0.8288,0.1000,0.2000,ARITHMETIC,0.0660,0.0650
1.0000,0.8291,0.1000,0.2000,ARITHMETIC,0.0660,0.0650
1.0000,0.7655,0.1000,0.2000,ARITHMETIC,0.0627,0.0623
1.0000,0.9027,0.1000,0.2000,ARITHMETIC,0.0698,0.0684
1.0000,0.5218,0.1000,0.2000,ARITHMETIC,0.0490,0.0527
1.0000,0.7847,0.1000,0.2000,ARITHMETIC,0.0637,0.0631
1.0000,1.2560,0.1000,0.2000,ARITHMETIC,0.0867,0.0863
1.0000,0.5051,0.1000,0.2000,ARITHMETIC,0.0480,0.0521
1.0000,1.3688,0.1000,0.2000,ARITHMETIC,0.0917,0.0927
1.0000,1.0425,0.1000,0.2000,ARITHMETIC,0.0767,0.0751
1.0000,0.8884,0.1000,0.2000,ARITHMETIC,0.0690,0.0677
1.0000,1.3819,0.1000,0.2000,ARITHMETIC,0.0923,0.0934
1.0000,0.6070,0.1000,0.2000,ARITHMETIC,0.0540,0.0559
1.0000,1.4344,0.1000,0.2000,ARITHMETIC,0.0946,0.0965
1.0000,0.7523,0.1000,0.2000,ARITHMETIC,0.0620,0.0617
1.0000,0.5419,0.1000,0.2000,ARITHMETIC,0.0502,0.0534
1.0000,0.8505,0.1000,0.2000,ARITHMETIC,0.0671,0.0660
1.0000,0.7873,0.1000,0.2000,ARITHMETIC,0.0638,0.0632
1.0000,0.6540,0.1000,0.2000,ARITHMETIC,0.0566,0.0577
1.0000,0.9659,0.1000,0.2000,ARITHMETIC,0.0729,0.0713
1.0000,0.6319,0.1000,0.2000,ARITHMETIC,0.0554,0.0568
1.0000,0.8366,0.1000,0.2000,ARITHMETIC,0.0664,0.0654
1.0000,1.0711,0.1000,0.2000,ARITHMETIC,0.0780,0.0765
1.0000,0.9347,0.1000,0.2000,ARITHMETIC,0.0714,0.0699
1.0000,1.4056,0.1000,0.2000,ARITHMETIC,0.0934,0.0948
1.0000,0.6301,0.1000,0.2000,ARITHMETIC,0.0553,0.0568
1.0000,1.0566,0.1000,0.2000,ARITHMETIC,0.0773,0.0758
1.0000,1.2225,0.1000,0.2000,ARITHMETIC,0.0851,0.0844
1.0000,1.3355,0.1000,0.2000,ARITHMETIC,0.0903,0.0907
1.0000,0.7270,0.1000,0.2000,ARITHMETIC,0.0606,0.0607
1.0000,1.3233,0.1000,0.2000,ARITHMETIC,0.0897,0.0900
1.0000,0.6696,0.1000,0.2000,ARITHMETIC,0.0575,0.0583
1.0000,0.5704,0.1000,0.2000,ARITHMETIC,0.0519,0.0545
1.0000,0.9199,0.1000,0.2000,ARITHMETIC,0.0706,0.0692
1.0000,0.9803,0.1000,0.2000,ARITHMETIC,0.0736,0.0720
1.0000,0.8571,0.1000,0.2000,ARITHMETIC,0.0674,0.0663
1.0000,0.5714,0.1000,0.2000,ARITHMETIC,0.0520,0.0545
1.0000,0.8686,0.1000,0.2000,ARITHMETIC,0.0680,0.0668
1.0000,0.9068,0.1000,0.2000,ARITHMETIC,0.0700,0.0686
1.0000,1.3318,0.1000,0.2000,ARITHMETIC,0.0901,0.0905
1.0000,0.6929,0.1000,0.2000,ARITHMETIC,0.0588,0.0593
1.0000,0.9994,0.1000,0.2000,ARITHMETIC,0.0746,0.0729
1.0000,1.3743,0.1000,0.2000,ARITHMETIC,0.0920,0.0930
1.0000,0.8815,0.1000,0.2000,ARITHMETIC,0.0687,0.0674
1.0000,1.1710,0.1000,0.2000,ARITHMETIC,0.0828,0.0817
1.0000,1.3767,0.1000,0.2000,ARITHMETIC,0.0921,0.0931
1.0000,0.9021,0.1000,0.2000,ARITHMETIC,0.0697,0.0683
1.0000,0.5403,0.1000,0.2000,ARITHMETIC,0.0501,0.0534
1.0000,1.4739,0.1000,0.2000,ARITHMETIC,0.0964,0.0989
1.0000,1.2762,0.1000,0.2000,ARITHMETIC,0.0876,0.0874
1.0000,1.3856,0.1000,0.2000,ARITHMETIC,0.0925,0.0936
1.0000,0.6226,0.1000,0.2000,ARITHMETIC,0.0549,0.0565
1.0000,1.2677,0.1000,0.2000,ARITHMETIC,0.0872,0.0869
1.0000,0.6681,0.1000,0.2000,ARITHMETIC,0.0574,0.0583
1.0000,1.3243,0.1000,0.2000,ARITHMETIC,0.0898,0.0901
1.0000,0.6838,0.1000,0.2000,ARITHMETIC,0.0583,0.0589
1.0000,0.8655,0.1000,0.2000,ARITHMETIC,0.0679,0.0667
1.0000,0.6835,0.1000,0.2000,ARITHMETIC,0.0583,0.0589
1.0000,0.5513,0.1000,0.2000,ARITHMETIC,0.0508,0.0538
1.0000,1.2175,0.1000,0.2000,ARITHMETIC,0.0849,0.0842
1.0000,1.3588,0.1000,0.2000,ARITHMETIC,0.0913,0.0921
1.0000,0.6311,0.1000,0.2000,ARITHMETIC,0.0554,0.0568
1.0000,0.8100,0.1000,0.2000,ARITHMETIC,0.0650,0.0642
1.0000,0.9440,0.1000,0.2000,ARITHMETIC,0.0718,0.0703
1.0000,1.1099,0.1000,0.2000,ARITHMETIC,0.0799,0.0785
1.0000,0.7904,0.1000,0.2000,ARITHMETIC,0.0640,0.0634
1.0000,0.7883,0.1000,0.2000,ARITHMETIC,0.0639,0.0633
1.0000,0.8341,0.1000,0.2000,ARITHMETIC,0.0663,0.0653
1.0000,0.9173,0.1000,0.2000,ARITHMETIC,0.0705,0.0690
1.0000,1.4244,0.1000,0.2000,ARITHMETIC,0.0942,0.0959
1.0000,1.4099,0.1000,0.2000,ARITHMETIC,0.0936,0.0951
1.0000,1.0948,0.1000,0.2000,ARITHMETIC,0.0792,0.0777
1.0000,1.1227,0.1000,0.2000,ARITHMETIC,0.0805,0.0791
1.0000,0.6878,0.1000,0.2000,ARITHMETIC,0.0585,0.0591
1.0000,1.1189,0.1000,0.2000,ARITHMETIC,0.0803,0.0789
1.0000,0.5134,0.1000,0.2000,ARITHMETIC,0.0485,0.0524
1.0000,1.0736,0.1000,0.2000,ARITHMETIC,0.0782,0.0766
1.0000,1.2707,0.1000,0.2000,ARITHMETIC,0.0873,0.0871
1.0000,1.4269,0.1000,0.2000,ARITHMETIC,0.0943,0.0961
1.0000,0.8449,0.1000,0.2000,ARITHMETIC,0.0668,0.0657
1.0000,0.7517,0.1000,0.2000,ARITHMETIC,0.0619,0.0617
1.0000,1.1791,0.1000,0.2000,ARITHMETIC,0.0831,0.0821
1.0000,0.7316,0.1000,0.2000,ARITHMETIC,0.0609,0.0609
1.0000,1.3547,0.1000,0.2000,ARITHMETIC,0.0911,0.0918
1.0000,0.9963,0.1000,0.2000,ARITHMETIC,0.0744,0.0728
1.0000,0.6074,0.1000,0.2000,ARITHMETIC,0.0540,0.0559
1.0000,1.1670,0.1000,0.2000,ARITHMETIC,0.0826,0.0814
1.0000,1.3290,0.1000,0.2000,ARITHMETIC,0.0900,0.0904
1.0000,0.8735,0.1000,0.2000,ARITHMETIC,0.0683,0.0670
1.0000,0.6609,0.1000,0.2000,ARITHMETIC,0.0570,0.0580
1.0000,0.7672,0.1000,0.2000,ARITHMETIC,0.0628,0.0624
1.0000,1.2323,0.1000,0.2000,ARITHMETIC,0.0856,0.0850
1.0000,0.8780,0.1000,0.2000,ARITHMETIC,0.0685,0.0672
1.0000,1.4226,0.1000,0.2000,ARITHMETIC,0.0941,0.0958
1.0000,0.9678,0.1000,0.2000,ARITHMETIC,0.0730,0.0714
1.0000,0.9433,0.1000,0.2000,ARITHMETIC,0.0718,0.0703
1.0000,0.7675,0.1000,0.2000,ARITHMETIC,0.0628,0.0624
1.0000,1.2680,0.1000,0.2000,ARITHMETIC,0.0872,0.0869
1.0000,1.0983,0.1000,0.2000,ARITHMETIC,0.0793,0.0779
1.0000,0.7834,0.1000,0.2000,ARITHMETIC,0.0636,0.0631
1.0000,1.1512,0.1000,0.2000,ARITHMETIC,0.0818,0.0806
1.0000,1.4438,0.1000,0.2000,ARITHMETIC,0.0950,0.0971
1.0000,1.1624,0.1000,0.2000,ARITHMETIC,0.0824,0.0812
1.0000,1.2486,0.1000,0.2000,ARITHMETIC,0.0863,0.0859
1.0000,0.8129,0.1000,0.2000,ARITHMETIC,0.0652,0.0643
1.0000,1.3166,0.1000,0.2000,ARITHMETIC,0.0894,0.0897
1.0000,1.4601,0.1000,0.2000,ARITHMETIC,0.0958,0.0981
1.0000,1.0899,0.1000,0.2000,ARITHMETIC,0.0789,0.0774
1.0000,1.3230,0.1000,0.2000,ARITHMETIC,0.0897,0.0900
1.0000,0.8268,0.1000,0.2000,ARITHMETIC,0.0659,0.0649
1.0000,0.6892,0.1000,0.2000,ARITHMETIC,0.0586,0.0591
1.0000,0.9566,0.1000,0.2000,ARITHMETIC,0.0725,0.0709
1.0000,0.7010,0.1000,0.2000,ARITHMETIC,0.0592,0.0596
1.0000,0.6866,0.1000,0.2000,ARITHMETIC,0.0584,0.0590
1.0000,0.8992,0.1000,0.2000,ARITHMETIC,0.0696,0.0682
1.0000,1.2885,0.1000,0.2000,ARITHMETIC,0.0881,0.0881
1.0000,0.9024,0.1000,0.2000,ARITHMETIC,0.0697,0.0684
1.0000,0.9474,0.1000,0.2000,ARITHMETIC,0.0720,0.0704
1.0000,0.5525,0.1000,0.2000,ARITHMETIC,0.0509,0.0538
1.0000,0.5890,0.1000,0.2000,ARITHMETIC,0.0530,0.0552
1.0000,1.0592,0.1000,0.2000,ARITHMETIC,0.0775,0.0759
1.0000,1.2694,0.1000,0.2000,ARITHMETIC,0.0873,0.0870
1.0000,1.4050,0.1000,0.2000,ARITHMETIC,0.0933,0.0948
1.0000,0.5425,0.1000,0.2000,ARITHMETIC,0.0503,0.0534
1.0000,1.3822,0.1000,0.2000,ARITHMETIC,0.0923,0.0934
1.0000,1.0874,0.1000,0.2000,ARITHMETIC,0.0788,0.0773
1.0000,1.3586,0.1000,0.2000,ARITHMETIC,0.0913,0.0921
1.0000,0.5670,0.1000,0.2000,ARITHMETIC,0.0517,0.0544
1.0000,0.9662,0.1000,0.2000,ARITHMETIC,0.0729,0.0713
1.0000,1.2865,0.1000,0.2000,ARITHMETIC,0.0881,0.0880
1.0000,1.4335,0.1000,0.2000,ARITHMETIC,0.0946,0.0965
1.0000,1.4492,0.1000,0.2000,ARITHMETIC,0.0953,0.0974
1.0000,1.1815,0.1000,0.2000,ARITHMETIC,0.0833,0.0822
1.0000,0.7481,0.1000,0.2000,ARITHMETIC,0.0617,0.0616
1.0000,1.2367,0.1000,0.2000,ARITHMETIC,0.0858,0.0852
1.0000,0.9896,0.1000,0.2000,ARITHMETIC,0.0741,0.0725
1.0000,0.9509,0.1000,0.2000,ARITHMETIC,0.0722,0.0706
1.0000,0.9782,0.1000,0.2000,ARITHMETIC,0.0735,0.0719
1.0000,1.2110,0.1000,0.2000,ARITHMETIC,0.0846,0.0838
1.0000,1.3771,0.1000,0.2000,ARITHMETIC,0.0921,0.0931
1.0000,0.9036,0.1000,0.2000,ARITHMETIC,0.0698,0.0684
1.0000,1.4314,0.1000,0.2000,ARITHMETIC,0.0945,0.0963
1.0000,1.0447,0.1000,0.2000,ARITHMETIC,0.0768,0.0752
1.0000,1.2232,0.1000,0.2000,ARITHMETIC,0.0852,0.0845
1.0000,0.5136,0.1000,0.2000,ARITHMETIC,0.0486,0.0524
1.0000,1.2420,0.1000,0.2000,ARITHMETIC,0.0860,0.0855
1.0000,0.7815,0.1000,0.2000,ARITHMETIC,0.0635,0.0630
1.0000,1.3911,0.1000,0.2000,ARITHMETIC,0.0927,0.0940
1.0000,1.4624,0.1000,0.2000,ARITHMETIC,0.0959,0.0982
1.0000,0.9920,0.1000,0.2000,ARITHMETIC,0.0742,0.0726
1.0000,0.6328,0.1000,0.2000,ARITHMETIC,0.0555,0.0569
1.0000,0.6926,0.1000,0.2000,ARITHMETIC,0.0588,0.0593
1.0000,0.8386,0.1000,0.2000,ARITHMETIC,0.0665,0.0655
1.0000,1.0236,0.1000,0.2000,ARITHMETIC,0.0757,0.0741
1.0000,1.3626,0.1000,0.2000,ARITHMETIC,0.0915,0.0923
1.0000,0.6482,0.1000,0.2000,ARITHMETIC,0.0563,0.0575
1.0000,1.0215,0.1000,0.2000,ARITHMETIC,0.0756,0.0740
1.0000,1.4354,0.1000,0.2000,ARITHMETIC,0.0947,0.0966
1.0000,1.1071,0.1000,0.2000,ARITHMETIC,0.0798,0.0783
1.0000,1.3417,0.1000,0.2000,ARITHMETIC,0.0905,0.0911
1.0000,1.0880,0.1000,0.2000,ARITHMETIC,0.0789,0.0773
1.0000,0.8786,0.1000,0.2000,ARITHMETIC,0.0685,0.0673
1.0000,0.6362,0.1000,0.2000,ARITHMETIC,0.0556,0.0570
1.0000,1.4144,0.1000,0.2000,ARITHMETIC,0.0938,0.0953
1.0000,0.5502,0.1000,0.2000,ARITHMETIC,0.0507,0.0537
1.0000,0.9200,0.1000,0.2000,ARITHMETIC,0.0706,0.0692
1.0000,1.0617,0.1000,0.2000,ARITHMETIC,0.0776,0.0760
1.0000,1.0319,0.1000,0.2000,ARITHMETIC,0.0762,0.0745
1.0000,0.9979,0.1000,0.2000,ARITHMETIC,0.0745,0.0729
1.0000,0.9162,0.1000,0.2000,ARITHMETIC,0.0704,0.0690
1.0000,1.0169,0.1000,0.2000,ARITHMETIC,0.0754,0.0738
1.0000,0.9447,0.1000,0.2000,ARITHMETIC,0.0719,0.0703
1.0000,1.4533,0.1000,0.2000,ARITHMETIC,0.0955,0.0977
1.0000,0.5614,0.1000,0.2000,ARITHMETIC,0.0514,0.0542
1.0000,1.1566,0.1000,0.2000,ARITHMETIC,0.0821,0.0809
1.0000,0.8958,0.1000,0.2000,ARITHMETIC,0.0694,0.0680
1.0000,0.9856,0.1000,0.2000,ARITHMETIC,0.0739,0.0723
1.0000,0.9609,0.1000,0.2000,ARITHMETIC,0.0727,0.0711
1.0000,1.1268,0.1000,0.2000,ARITHMETIC,0.0807,0.0793
1.0000,0.7067,0.1000,0.2000,ARITHMETIC,0.0595,0.0598
1.0000,1.3810,0.1000,0.2000,ARITHMETIC,0.0923,0.0934
1.0000,1.1933,0.1000,0.2000,ARITHMETIC,0.0838,0.0829
1.0000,1.2924,0.1000,0.2000,ARITHMETIC,0.0883,0.0883
1.0000,1.0031,0.1000,0.2000,ARITHMETIC,0.0747,0.0731
1.0000,1.2448,0.1000,0.2000,ARITHMETIC,0.0862,0.0856
1.0000,0.9666,0.1000,0.2000,ARITHMETIC,0.0730,0.0714
1.0000,1.2484,0.1000,0.2000,ARITHMETIC,0.0863,0.0858
1.0000,1.4329,0.1000,0.2000,ARITHMETIC,0.0946,0.0964
1.0000,1.1571,0.1000,0.2000,ARITHMETIC,0.0821,0.0809
1.0000,0.7514,0.1000,0.2000,ARITHMETIC,0.0619,0.0617
1.0000,1.1324,0.1000,0.2000,ARITHMETIC,0.0810,0.0796
1.0000,0.5235,0.1000,0.2000,ARITHMETIC,0.0491,0.0528
1.0000,1.2767,0.1000,0.2000,ARITHMETIC,0.0876,0.0874
1.0000,0.9004,0.1000,0.2000,ARITHMETIC,0.0696,0.0683
1.0000,0.6789,0.1000,0.2000,ARITHMETIC,0.0580,0.0587
1.0000,0.5287,0.1000,0.2000,ARITHMETIC,0.0495,0.0529
1.0000,0.6851,0.1000,0.2000,ARITHMETIC,0.0583,0.0590
1.0000,1.3886,0.1000,0.2000,ARITHMETIC,0.0926,0.0938
1.0000,0.8099,0.1000,0.2000,ARITHMETIC,0.0650,0.0642
1.0000,0.8600,0.1000,0.2000,ARITHMETIC,0.0676,0.0664
1.0000,1.0727,0.1000,0.2000,ARITHMETIC,0.0781,0.0766
1.0000,0.7955,0.1000,0.2000,ARITHMETIC,0.0643,0.0636
1.0000,0.5370,0.1000,0.2000,ARITHMETIC,0.0499,0.0532
1.0000,0.6060,0.1000,0.2000,ARITHMETIC,0.0539,0.0558
1.0000,1.2789,0.1000,0.2000,ARITHMETIC,0.0877,0.0875
1.0000,0.8643,0.1000,0.2000,ARITHMETIC,0.0678,0.0666
1.0000,1.2489,0.1000,0.2000,ARITHMETIC,0.0864,0.0859
1.0000,1.0298,0.1000,0.2000,ARITHMETIC,0.0761,0.0744
1.0000,0.9009,0.1000,0.2000,ARITHMETIC,0.0697,0.0683
1.0000,1.4951,0.1000,0.2000,ARITHMETIC,0.0973,0.1002
1.0000,1.1845,0.1000,0.2000,ARITHMETIC,0.0834,0.0824
1.0000,0.5663,0.1000,0.2000,ARITHMETIC,0.0517,0.0543
1.0000,0.9867,0.1000,0.2000,ARITHMETIC,0.0739,0.0723
1.0000,0.6981,0.1000,0.2000,ARITHMETIC,0.0591,0.0595
1.0000,1.3107,0.1000,0.2000,ARITHMETIC,0.0891,0.0893
1.0000,0.6054,0.1000,0.2000,ARITHMETIC,0.0539,0.0558
1.0000,0.5124,0.1000,0.2000,ARITHMETIC,0.0485,0.0524
1.0000,0.6332,0.1000,0.2000,ARITHMETIC,0.0555,0.0569
1.0000,1.0578,0.1000,0.2000,ARITHMETIC,0.0774,0.0758
1.0000,1.4366,0.1000,0.2000,ARITHMETIC,0.0947,0.0967
1.0000,1.4904,0.1000,0.2000,ARITHMETIC,0.0971,0.0999
1.0000,1.2851,0.1000,0.2000,ARITHMETIC,0.0880,0.0879
1.0000,1.4721,0.1000,0.2000,ARITHMETIC,0.0963,0.0988
1.0000,0.5768,0.1000,0.2000,ARITHMETIC,0.0523,0.0547
1.0000,1.4416,0.1000,0.2000,ARITHMETIC,0.0950,0.0970
1.0000,0.7625,0.1000,0.2000,ARITHMETIC,0.0625,0.0622
1.0000,0.7967,0.1000,0.2000,ARITHMETIC,0.0643,0.0636
