spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,monte_carlo_price,net_price
1.0000,1.0000,0.1000,0.3957,ARITHMETIC,0.1202,0.1202
1.0000,1.0000,0.1000,0.4219,ARITHMETIC,0.1266,0.1266
1.0000,1.0000,0.1000,0.3591,ARITHMETIC,0.1114,0.1115
1.0000,1.0000,0.1000,0.1585,ARITHMETIC,0.0658,0.0658
1.0000,1.0000,0.1000,0.5426,ARITHMETIC,0.1573,0.1575
1.0000,1.0000,0.1000,0.3680,ARITHMETIC,0.1135,0.1136
1.0000,1.0000,0.1000,0.0781,ARITHMETIC,0.0511,0.0512
1.0000,1.0000,0.1000,0.3363,ARITHMETIC,0.1060,0.1060
1.0000,1.0000,0.1000,0.4146,ARITHMETIC,0.1248,0.1248
1.0000,1.0000,0.1000,0.2202,ARITHMETIC,0.0791,0.0790
1.0000,1.0000,0.1000,0.4638,ARITHMETIC,0.1371,0.1370
1.0000,1.0000,0.1000,0.0825,ARITHMETIC,0.0517,0.0519
1.0000,1.0000,0.1000,0.2146,ARITHMETIC,0.0778,0.0778
1.0000,1.0000,0.1000,0.4011,ARITHMETIC,0.1215,0.1215
1.0000,1.0000,0.1000,0.4406,ARITHMETIC,0.1313,0.1312
1.0000,1.0000,0.1000,0.2812,ARITHMETIC,0.0931,0.0931
1.0000,1.0000,0.1000,0.1779,ARITHMETIC,0.0698,0.0698
1.0000,1.0000,0.1000,0.4535,ARITHMETIC,0.1345,0.1344
1.0000,1.0000,0.1000,0.4622,ARITHMETIC,0.1367,0.1366
1.0000,1.0000,0.1000,0.4045,ARITHMETIC,0.1223,0.1224
1.0000,1.0000,0.1000,0.1808,ARITHMETIC,0.0704,0.0704
1.0000,1.0000,0.1000,0.2346,ARITHMETIC,0.0824,0.0823
1.0000,1.0000,0.1000,0.5174,ARITHMETIC,0.1508,0.1508
1.0000,1.0000,0.1000,0.1866,ARITHMETIC,0.0717,0.0716
1.0000,1.0000,0.1000,0.4201,ARITHMETIC,0.1262,0.1262
1.0000,1.0000,0.1000,0.4286,ARITHMETIC,0.1283,0.1283
1.0000,1.0000,0.1000,0.3463,ARITHMETIC,0.1083,0.1084
1.0000,1.0000,0.1000,0.5453,ARITHMETIC,0.1580,0.1582
1.0000,1.0000,0.1000,0.1486,ARITHMETIC,0.0638,0.0638
1.0000,1.0000,0.1000,0.5011,ARITHMETIC,0.1466,0.1466
1.0000,1.0000,0.1000,0.2272,ARITHMETIC,0.0807,0.0806
1.0000,1.0000,0.1000,0.1992,ARITHMETIC,0.0744,0.0744
1.0000,1.0000,0.1000,0.4717,ARITHMETIC,0.1391,0.1390
1.0000,1.0000,0.1000,0.0600,ARITHMETIC,0.0488,0.0485
1.0000,1.0000,0.1000,0.4649,ARITHMETIC,0.1374,0.1373
1.0000,1.0000,0.1000,0.0950,ARITHMETIC,0.0537,0.0539
1.0000,1.0000,0.1000,0.1248,ARITHMETIC,0.0591,0.0592
1.0000,1.0000,0.1000,0.5497,ARITHMETIC,0.1592,0.1594
1.0000,1.0000,0.1000,0.1881,ARITHMETIC,0.0720,0.0719
1.0000,1.0000,0.1000,0.3378,ARITHMETIC,0.1063,0.1064
1.0000,1.0000,0.1000,0.3748,ARITHMETIC,0.1151,0.1152
1.0000,1.0000,0.1000,0.2678,ARITHMETIC,0.0900,0.0899
1.0000,1.0000,0.1000,0.1110,ARITHMETIC,0.0565,0.0567
1.0000,1.0000,0.1000,0.5177,ARITHMETIC,0.1509,0.1509
1.0000,1.0000,0.1000,0.3879,ARITHMETIC,0.1183,0.1184
