spot_strike_ratio,ttm,risk_free_rate,volatility,avg_type,price_strike_ratio,left_ci,right_ci
1.5000,1.5000,0.1200,0.3912,ARITHMETIC,0.5396,0.5362,0.5429
1.5000,1.5000,0.1200,0.0769,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.1602,ARITHMETIC,0.5377,0.5372,0.5382
1.5000,1.5000,0.1200,0.1422,ARITHMETIC,0.5377,0.5373,0.5381
1.5000,1.5000,0.1200,0.1380,ARITHMETIC,0.5376,0.5372,0.5380
1.5000,1.5000,0.1200,0.4560,ARITHMETIC,0.5480,0.5432,0.5529
1.5000,1.5000,0.1200,0.5117,ARITHMETIC,0.5516,0.5453,0.5579
1.5000,1.5000,0.1200,0.1883,ARITHMETIC,0.5374,0.5368,0.5381
1.5000,1.5000,0.1200,0.4599,ARITHMETIC,0.5486,0.5438,0.5534
1.5000,1.5000,0.1200,0.4949,ARITHMETIC,0.5435,0.5383,0.5488
1.5000,1.5000,0.1200,0.3065,ARITHMETIC,0.5386,0.5366,0.5407
1.5000,1.5000,0.1200,0.1725,ARITHMETIC,0.5376,0.5370,0.5382
1.5000,1.5000,0.1200,0.4621,ARITHMETIC,0.5471,0.5421,0.5520
1.5000,1.5000,0.1200,0.1569,ARITHMETIC,0.5377,0.5372,0.5382
1.5000,1.5000,0.1200,0.4207,ARITHMETIC,0.5447,0.5406,0.5487
1.5000,1.5000,0.1200,0.3650,ARITHMETIC,0.5396,0.5368,0.5424
1.5000,1.5000,0.1200,0.5137,ARITHMETIC,0.5522,0.5463,0.5581
1.5000,1.5000,0.1200,0.1660,ARITHMETIC,0.5375,0.5370,0.5380
1.5000,1.5000,0.1200,0.4496,ARITHMETIC,0.5474,0.5428,0.5520
1.5000,1.5000,0.1200,0.3091,ARITHMETIC,0.5378,0.5360,0.5397
1.5000,1.5000,0.1200,0.1658,ARITHMETIC,0.5372,0.5367,0.5377
1.5000,1.5000,0.1200,0.1330,ARITHMETIC,0.5374,0.5370,0.5377
1.5000,1.5000,0.1200,0.2989,ARITHMETIC,0.5376,0.5358,0.5393
1.5000,1.5000,0.1200,0.3414,ARITHMETIC,0.5380,0.5356,0.5404
1.5000,1.5000,0.1200,0.1422,ARITHMETIC,0.5376,0.5372,0.5380
1.5000,1.5000,0.1200,0.0574,ARITHMETIC,0.5375,0.5374,0.5376
1.5000,1.5000,0.1200,0.2856,ARITHMETIC,0.5387,0.5370,0.5403
1.5000,1.5000,0.1200,0.4141,ARITHMETIC,0.5423,0.5386,0.5461
1.5000,1.5000,0.1200,0.5093,ARITHMETIC,0.5519,0.5461,0.5578
1.5000,1.5000,0.1200,0.3628,ARITHMETIC,0.5414,0.5386,0.5442
1.5000,1.5000,0.1200,0.5086,ARITHMETIC,0.5543,0.5482,0.5604
1.5000,1.5000,0.1200,0.4823,ARITHMETIC,0.5474,0.5423,0.5524
1.5000,1.5000,0.1200,0.1591,ARITHMETIC,0.5376,0.5371,0.5380
1.5000,1.5000,0.1200,0.4831,ARITHMETIC,0.5500,0.5444,0.5556
1.5000,1.5000,0.1200,0.4154,ARITHMETIC,0.5434,0.5396,0.5472
1.5000,1.5000,0.1200,0.1889,ARITHMETIC,0.5375,0.5368,0.5382
